param_name,param_value,signal,domain,snr_composite,composite_saturated,composite_drops,snr_lttb,lttb_saturated,snr_rdp,rdp_saturated
boundary_protect,2.0000,ecg_228,ecg,35.4752,0,1152,32.1921,0,37.4150,0
boundary_protect,2.0000,vib_normal_0hp,vibration,19.6561,0,1154,18.5346,0,21.8260,0
boundary_protect,2.0000,vib_inner_race_007,vibration,8.4872,0,1152,2.8552,0,10.2199,0
boundary_protect,2.0000,vib_ball_fault_007,vibration,5.2904,0,1156,0.6811,0,6.6681,0
boundary_protect,3.0000,ecg_100,ecg,38.4425,0,1154,31.6025,0,40.8685,0
boundary_protect,3.0000,ecg_105,ecg,39.0054,0,1156,35.8182,0,40.9257,0
boundary_protect,3.0000,ecg_108,ecg,36.5431,0,1154,35.1787,0,38.7385,0
boundary_protect,3.0000,ecg_201,ecg,37.0196,0,1153,32.5707,0,39.2801,0
boundary_protect,3.0000,ecg_228,ecg,35.3125,0,1154,32.5350,0,37.3657,0
boundary_protect,3.0000,vib_normal_0hp,vibration,19.5930,0,1157,18.0543,0,21.7670,0
boundary_protect,3.0000,vib_inner_race_007,vibration,8.5853,0,1154,3.0870,0,10.2042,0
boundary_protect,3.0000,vib_ball_fault_007,vibration,5.2679,0,1154,0.6882,0,6.7029,0
gamma,0.2000,ecg_100,ecg,38.7619,0,1151,30.4988,0,40.9440,0
gamma,0.2000,ecg_105,ecg,39.0056,0,1151,36.1361,0,41.0538,0
gamma,0.2000,ecg_108,ecg,36.4199,0,1156,34.7266,0,38.7083,0
gamma,0.2000,ecg_201,ecg,36.5804,0,1158,32.8340,0,39.1873,0
gamma,0.2000,ecg_228,ecg,35.3827,0,1158,32.0897,0,37.3078,0
gamma,0.2000,vib_normal_0hp,vibration,19.6460,0,1153,18.2397,0,21.8456,0
gamma,0.2000,vib_inner_race_007,vibration,8.6511,0,1148,3.1940,0,10.2806,0
gamma,0.2000,vib_ball_fault_007,vibration,5.4831,0,1153,0.9321,0,6.6964,0
gamma,0.4000,ecg_100,ecg,38.7463,0,1147,31.7319,0,40.9908,0
gamma,0.4000,ecg_105,ecg,38.9580,0,1153,36.0612,0,41.0023,0
gamma,0.4000,ecg_108,ecg,36.5081,0,1154,35.1787,0,38.7385,0
gamma,0.4000,ecg_201,ecg,36.7482,0,1155,33.0666,0,39.2349,0
gamma,0.4000,ecg_228,ecg,35.5711,0,1152,32.1921,0,37.4150,0
gamma,0.4000,vib_normal_0hp,vibration,19.5526,0,1156,18.3090,0,21.7833,0
gamma,0.4000,vib_inner_race_007,vibration,8.5433,0,1156,3.0128,0,10.1456,0
gamma,0.4000,vib_ball_fault_007,vibration,5.4018,0,1155,0.6741,0,6.6855,0
gamma,0.6000,ecg_100,ecg,38.8257,0,1151,30.4988,0,40.9440,0
gamma,0.6000,ecg_105,ecg,39.1410,0,1154,36.3438,0,40.9839,0
gamma,0.6000,ecg_108,ecg,36.5748,0,1152,34.7774,0,38.7897,0
gamma,0.6000,ecg_201,ecg,37.0564,0,1155,33.0666,0,39.2349,0
gamma,0.6000,ecg_228,ecg,35.4634,0,1155,32.5868,0,37.3339,0
gamma,0.6000,vib_normal_0hp,vibration,19.8534,0,1155,18.4531,0,21.7996,0
gamma,0.6000,vib_inner_race_007,vibration,8.2955,0,1153,2.9111,0,10.2226,0
gamma,0.6000,vib_ball_fault_007,vibration,5.6014,0,1155,0.6741,0,6.6855,0
gamma,0.8000,ecg_100,ecg,38.6315,0,1153,30.9665,0,40.8846,0
gamma,0.8000,ecg_105,ecg,38.9822,0,1153,36.0612,0,41.0023,0
gamma,0.8000,ecg_108,ecg,36.4854,0,1144,34.8481,0,38.9344,0
gamma,0.8000,ecg_201,ecg,37.0201,0,1155,33.0666,0,39.2349,0
gamma,0.8000,ecg_228,ecg,35.4219,0,1157,32.3721,0,37.3407,0
gamma,0.8000,vib_normal_0hp,vibration,19.7398,0,1152,18.2149,0,21.8780,0
gamma,0.8000,vib_inner_race_007,vibration,8.4963,0,1151,3.2978,0,10.2427,0
gamma,0.8000,vib_ball_fault_007,vibration,5.2053,0,1154,0.6882,0,6.7029,0
