record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
101,SDT,256,10,1255,7.968,28.4874,0.9688,0.9846
101,FIFO,256,10,1255,7.968,10.2856,0.9688,0.9846
101,IE,256,20,755,13.245,25.2067,0.9846,0.9846
101,SDT,256,20,754,13.263,25.728,0.9688,0.9846
101,FIFO,256,20,755,13.245,7.0824,0.75,0.9846
101,IE,256,50,455,21.978,16.3862,0.9846,0.9846
101,SDT,256,50,458,21.834,20.5015,0.9688,0.9846
101,FIFO,256,50,455,21.978,4.9101,0.28,0.9846
101,IE,512,5,2511,3.982,32.6511,0.9846,0.9846
101,SDT,512,5,2491,4.014,32.0716,0.9688,0.9846
101,FIFO,512,5,2511,3.982,18.2611,0.9846,0.9846
101,IE,512,10,1511,6.618,29.1279,0.9846,0.9846
101,SDT,512,10,1509,6.627,29.4235,0.9846,0.9846
101,FIFO,512,10,1511,6.618,10.6471,0.9688,0.9846
101,IE,512,20,1011,9.891,26.3072,0.9846,0.9846
101,SDT,512,20,1015,9.852,27.5673,0.9846,0.9846
101,FIFO,512,20,1011,9.891,6.9345,0.7407,0.9846
101,IE,512,50,711,14.065,21.3284,0.9846,0.9846
101,SDT,512,50,710,14.085,25.2051,0.9688,0.9846
101,FIFO,512,50,711,14.065,5.0758,0.4444,0.9846
105,IE,32,5,2031,4.924,32.3281,0.987,0.961
105,SDT,32,5,2027,4.933,31.7554,0.987,0.961
105,FIFO,32,5,2031,4.924,23.7591,0.961,0.961
105,IE,32,10,1031,9.699,27.8533,0.987,0.961
105,SDT,32,10,1038,9.634,28.091,0.987,0.961
105,FIFO,32,10,1031,9.699,14.2708,0.961,0.961
105,IE,32,20,531,18.832,19.389,0.987,0.961
105,SDT,32,20,536,18.657,20.9653,0.961,0.961
105,FIFO,32,20,531,18.832,6.9516,0.9211,0.961
105,IE,32,50,231,43.29,6.4785,0.961,0.961
105,SDT,32,50,232,43.103,11.9943,0.987,0.961
105,FIFO,32,50,231,43.29,1.6947,0.5091,0.961
105,IE,64,5,2063,4.847,32.6642,0.961,0.961
105,SDT,64,5,2032,4.921,31.7759,0.987,0.961
105,FIFO,64,5,2063,4.847,23.4252,0.961,0.961
