signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_100,ecg,IMP_FIRST_ORDER,128,6,0,30.8300,1.070423e-04,0.0233,0.8231,1369,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,6,0,30.4027,1.181094e-04,0.0049,0.7632,1366,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,6,0,30.7305,1.095229e-04,0.0069,0.8094,1370,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,6,0,30.7537,1.089393e-04,0.0091,0.7823,1364,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,128,6,0,35.0385,4.061652e-05,0.0043,0.9135,1368,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,128,6,0,34.8969,4.196235e-05,0.0289,0.9184,1368,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,128,6,0,36.6788,2.784015e-05,0.0000,0.9455,1368,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,128,6,0,27.2805,2.423806e-04,0.0000,0.9152,1368,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,DROP,128,6,1,21.0491,1.017737e-03,0.0019,0.7433,1371,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_100,ecg,RANDOM_DROP,128,6,1,12.9557,6.561134e-03,0.0075,0.6303,1367,0.8571,1.0000,0.7500,4.1667,-1.0000
ecg_100,ecg,DROP_MIDDLE,128,6,1,22.2609,7.699506e-04,0.0021,0.7455,1368,0.9333,1.0000,0.8750,4.3651,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,128,6,1,30.1839,1.242117e-04,0.0103,0.7594,1369,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,128,6,1,25.4973,3.654399e-04,0.1740,0.8027,1218,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,128,6,1,30.8922,1.055191e-04,0.0037,0.8241,1370,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,128,6,1,30.6816,1.107623e-04,0.0285,0.8247,1367,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,128,6,1,31.2451,9.728426e-05,0.0251,0.7699,1371,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,128,6,1,31.2750,9.661637e-05,0.0243,0.8035,1363,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,128,6,1,31.0593,1.015357e-04,0.0105,0.7908,1370,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,128,6,1,35.2661,3.854257e-05,0.0047,0.9162,1371,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,128,6,1,34.9661,4.129876e-05,0.0066,0.9119,1365,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,128,6,1,36.6180,2.823234e-05,0.0000,0.9442,1371,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,128,6,1,28.7541,1.726403e-04,0.0000,0.9017,1371,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_100,ecg,DROP,256,3,0,29.9581,1.308385e-04,0.0074,0.8896,838,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,RANDOM_DROP,256,3,0,18.9440,1.652519e-03,0.0086,0.8700,834,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,3,0,29.8828,1.331295e-04,0.0239,0.9041,832,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,3,0,35.8471,3.371631e-05,0.0050,0.8845,839,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,3,0,33.1429,6.284375e-05,0.2900,0.9216,679,0.9333,1.0000,0.8750,0.3968,-1.0000
ecg_100,ecg,LEGACY_IMPORTANCE,256,3,0,35.7913,3.415243e-05,0.0176,0.9366,835,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_FIRST_ORDER,256,3,0,35.7469,3.450333e-05,0.0088,0.9356,838,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_WINDOWED_ENERGY,256,3,0,35.7533,3.445285e-05,0.0151,0.8872,830,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_COMPOSITE,256,3,0,36.0119,3.246121e-05,0.0612,0.9141,827,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_ADAPTIVE,256,3,0,35.8491,3.370100e-05,0.0136,0.9058,831,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_ERROR,256,3,0,44.4342,4.667994e-06,0.0087,0.9925,834,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,IMP_INTERP_COMPOSITE,256,3,0,44.4819,4.617005e-06,0.0113,0.9901,822,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,RDP_OFFLINE,256,3,0,46.1293,3.159549e-06,0.0000,0.9938,834,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,LTTB_OFFLINE,256,3,0,34.3345,4.776354e-05,0.0000,0.9686,834,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,DROP,256,3,1,30.3663,1.191028e-04,0.0009,0.8990,836,0.9333,1.0000,0.8750,1.1905,-1.0000
ecg_100,ecg,RANDOM_DROP,256,3,1,18.0069,2.050502e-03,0.0197,0.8317,834,0.9333,1.0000,0.8750,2.3810,-1.0000
ecg_100,ecg,DROP_MIDDLE,256,3,1,30.3705,1.189868e-04,0.0049,0.8969,836,0.9333,1.0000,0.8750,0.3968,-1.0000
ecg_100,ecg,DROP_LOW_VARIANCE,256,3,1,35.8621,3.360013e-05,0.0041,0.8854,836,0.9333,1.0000,0.8750,0.7937,-1.0000
ecg_100,ecg,ADAPTIVE,256,3,1,32.9616,6.552187e-05,0.2759,0.9197,677,0.9333,1.0000,0.8750,1.1905,-1.0000
