signal,mode,buffer_size,consumer_delay_us,producer_delay_us,noise_std,trial,drops,max_wait_ms,mse,snr_db,max_error,deriv_ratio,rpeak_accuracy
spikes,RANDOM_DROP,64,200,100,0.0100,0,314,0.0084,1.616589e-02,0.9491,2.033041e+00,0.3332,-1.0000
spikes,DROP_MIDDLE,64,200,100,0.0100,0,307,0.0023,1.316567e-02,1.8407,2.033041e+00,0.4741,-1.0000
spikes,DROP_LOW_VARIANCE,64,200,100,0.0100,0,312,0.0023,1.693184e-05,30.7481,2.749642e-02,0.9423,-1.0000
spikes,IMP_FIRST_ORDER,64,200,100,0.0100,0,306,0.0081,2.012678e-03,9.9974,1.000284e+00,0.9646,-1.0000
spikes,IMP_SECOND_ORDER,64,200,100,0.0100,0,311,0.0030,7.108007e-03,4.5177,1.992803e+00,0.7390,-1.0000
spikes,IMP_WINDOWED_ENERGY,64,200,100,0.0100,0,316,0.0031,2.182866e-05,29.6449,2.312085e-02,0.9283,-1.0000
spikes,IMP_COMPOSITE,64,200,100,0.0100,0,314,0.0277,2.794671e-05,28.5718,2.439626e-02,0.9431,-1.0000
spikes,IMP_ADAPTIVE,64,200,100,0.0100,0,314,0.0018,2.963694e-05,28.3168,3.271056e-02,0.9229,-1.0000
spikes,IMP_INTERP_ERROR,64,200,100,0.0100,0,309,0.0012,4.576323e-06,36.4300,9.451192e-03,0.9850,-1.0000
spikes,IMP_INTERP_COMPOSITE,64,200,100,0.0100,0,313,0.0253,4.707463e-06,36.3073,1.042263e-02,0.9835,-1.0000
spikes,RDP_OFFLINE,64,200,100,0.0100,0,309,0.0000,2.911734e-06,38.3936,5.707713e-03,0.9894,-1.0000
spikes,LTTB_OFFLINE,64,200,100,0.0100,0,309,0.0000,4.113445e-03,6.8931,1.023084e+00,0.9268,-1.0000
sine_1hz,DROP,64,200,100,0.0100,1,307,0.0075,5.422122e-05,39.6472,4.431056e-02,0.6904,-1.0000
sine_1hz,WAIT,64,200,100,0.0100,1,0,0.2529,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,TIMED,64,200,100,0.0100,1,0,0.2220,0.000000e+00,100.0000,0.000000e+00,1.0000,-1.0000
sine_1hz,ADAPTIVE,64,200,100,0.0100,1,217,0.1214,3.414860e-05,41.6552,3.346890e-02,0.8085,-1.0000
sine_1hz,LEGACY_IMPORTANCE,64,200,100,0.0100,1,312,0.0080,3.697222e-05,41.3102,2.827788e-02,0.8988,-1.0000
sine_1hz,RANDOM_DROP,64,200,100,0.0100,1,312,0.0075,5.175607e-05,39.8493,4.486561e-02,0.7251,-1.0000
