signal,condition,load,mode,buffer_size,overload,retained,CR,snr_db,snr_saturated,pnr_orig_db,pnr_db,pnr_loss,amp_error_pct,diagnosable
Normal_3,,,DROP,512,20,1111,10.8011,-1.4242,0,,,,,
Normal_3,,,IE_ORACLE,512,20,1111,10.8011,-0.8033,0,,,,,
Normal_3,,,LTTB,512,20,1111,10.8011,-1.2128,0,,,,,
Normal_3,,,SDT,512,20,1112,10.7914,0.2683,0,,,,,
Normal_3,,,SDT_BOUNDED,512,20,1112,10.7914,0.2683,0,,,,,
Normal_3,,,IE,512,50,751,15.9787,-2.8265,0,,,,,
Normal_3,,,VW,512,50,751,15.9787,-1.4317,0,,,,,
Normal_3,,,DROP,512,50,751,15.9787,-1.7376,0,,,,,
Normal_3,,,IE_ORACLE,512,50,751,15.9787,-1.9544,0,,,,,
Normal_3,,,LTTB,512,50,751,15.9787,-1.3072,0,,,,,
Normal_3,,,SDT,512,50,753,15.9363,-0.3378,0,,,,,
Normal_3,,,SDT_BOUNDED,512,50,752,15.9574,-0.3455,0,,,,,
IR007_0,inner_race,0,IE,128,5,2527,4.7487,2.6136,0,33.973,32.58,1.393,12.704,1
IR007_0,inner_race,0,VW,128,5,2527,4.7487,1.9655,0,33.973,29.307,4.666,16.297,1
IR007_0,inner_race,0,DROP,128,5,2527,4.7487,-1.3076,0,33.973,20.841,13.132,94.411,1
IR007_0,inner_race,0,IE_ORACLE,128,5,2527,4.7487,2.8075,0,33.973,32.885,1.088,15.644,1
IR007_0,inner_race,0,LTTB,128,5,2527,4.7487,-0.5379,0,33.973,25.43,8.543,69.112,1
IR007_0,inner_race,0,SDT,128,5,2529,4.745,3.119,0,33.973,32.794,1.179,8.301,1
IR007_0,inner_race,0,SDT_BOUNDED,128,5,2525,4.7525,3.105,0,33.973,32.818,1.155,8.307,1
IR007_0,inner_race,0,IE,128,10,1327,9.043,-1.2525,0,33.973,30.992,2.981,10.561,1
IR007_0,inner_race,0,VW,128,10,1327,9.043,-1.1461,0,33.973,20.609,13.364,70.089,1
IR007_0,inner_race,0,DROP,128,10,1327,9.043,-2.2568,0,33.973,20.12,13.853,98.63,1
IR007_0,inner_race,0,IE_ORACLE,128,10,1327,9.043,-1.2461,0,33.973,31.764,2.209,4.101,1
IR007_0,inner_race,0,LTTB,128,10,1327,9.043,-2.2246,0,33.973,21.275,12.698,87.837,1
IR007_0,inner_race,0,SDT,128,10,1327,9.043,0.3259,0,33.973,29.548,4.425,28.984,1
IR007_0,inner_race,0,SDT_BOUNDED,128,10,1323,9.0703,0.3064,0,33.973,29.69,4.283,29.127,1
IR007_0,inner_race,0,IE,128,20,727,16.5062,-4.0489,0,33.973,29.243,4.73,38.448,1
IR007_0,inner_race,0,VW,128,20,727,16.5062,-2.3039,0,33.973,19.845,14.128,90.187,1
IR007_0,inner_race,0,DROP,128,20,727,16.5062,-2.2805,0,33.973,19.559,14.414,99.519,1
IR007_0,inner_race,0,IE_ORACLE,128,20,727,16.5062,-4.1392,0,33.973,28.713,5.26,31.531,1
IR007_0,inner_race,0,LTTB,128,20,727,16.5062,-3.6693,0,33.973,18.364,15.609,92.302,1
IR007_0,inner_race,0,SDT,128,20,727,16.5062,-0.9784,0,33.973,26.526,7.447,58.083,1
IR007_0,inner_race,0,SDT_BOUNDED,128,20,725,16.5517,-0.9787,0,33.973,26.531,7.442,58.089,1
IR007_0,inner_race,0,IE,128,50,367,32.6975,-6.5491,0,33.973,22.372,11.601,67.893,1
IR007_0,inner_race,0,VW,128,50,367,32.6975,-3.1585,0,33.973,14.423,19.55,98.342,1
IR007_0,inner_race,0,DROP,128,50,367,32.6975,-2.2977,0,33.973,9.847,24.126,99.955,1
IR007_0,inner_race,0,IE_ORACLE,128,50,367,32.6975,-6.3002,0,33.973,24.162,9.811,57.269,1
IR007_0,inner_race,0,LTTB,128,50,367,32.6975,-5.3743,0,33.973,16.468,17.505,95.345,1
IR007_0,inner_race,0,SDT,128,50,368,32.6087,-1.7985,0,33.973,22.468,11.505,81.137,1
IR007_0,inner_race,0,SDT_BOUNDED,128,50,368,32.6087,-1.7985,0,33.973,22.468,11.505,81.137,1
IR007_0,inner_race,0,IE,256,5,2655,4.5198,2.7805,0,33.973,32.632,1.341,12.888,1
IR007_0,inner_race,0,VW,256,5,2655,4.5198,2.1296,0,33.973,29.267,4.706,16.882,1
IR007_0,inner_race,0,DROP,256,5,2655,4.5198,-1.2422,0,33.973,22.156,11.817,94.353,1
IR007_0,inner_race,0,IE_ORACLE,256,5,2655,4.5198,3.1858,0,33.973,33.265,0.708,15.831,1
IR007_0,inner_race,0,LTTB,256,5,2655,4.5198,-0.3172,0,33.973,26.587,7.386,65.512,1
IR007_0,inner_race,0,SDT,256,5,2658,4.5147,3.5018,0,33.973,33.318,0.655,10.299,1
IR007_0,inner_race,0,SDT_BOUNDED,256,5,2653,4.5232,3.4467,0,33.973,33.383,0.59,10.211,1
IR007_0,inner_race,0,IE,256,10,1455,8.2474,-0.9642,0,33.973,30.73,3.243,8.85,1
IR007_0,inner_race,0,VW,256,10,1455,8.2474,-0.9684,0,33.973,21.136,12.837,68.42,1
IR007_0,inner_race,0,DROP,256,10,1455,8.2474,-2.1079,0,33.973,19.333,14.64,98.567,1
IR007_0,inner_race,0,IE_ORACLE,256,10,1455,8.2474,-0.7264,0,33.973,32.318,1.655,0.549,1
IR007_0,inner_race,0,LTTB,256,10,1455,8.2474,-2.2588,0,33.973,22.173,11.8,84.19,1
IR007_0,inner_race,0,SDT,256,10,1455,8.2474,0.7378,0,33.973,29.979,3.994,25.215,1
IR007_0,inner_race,0,SDT_BOUNDED,256,10,1453,8.2588,0.7178,0,33.973,29.784,4.189,25.511,1
IR007_0,inner_race,0,IE,256,20,855,14.0351,-3.4065,0,33.973,28.975,4.998,34.042,1
IR007_0,inner_race,0,VW,256,20,855,14.0351,-2.1524,0,33.973,18.173,15.8,88.923,1
IR007_0,inner_race,0,DROP,256,20,855,14.0351,-2.1748,0,33.973,17.307,16.666,99.556,1
IR007_0,inner_race,0,IE_ORACLE,256,20,855,14.0351,-3.1714,0,33.973,29.381,4.592,23.008,1
IR007_0,inner_race,0,LTTB,256,20,855,14.0351,-3.3095,0,33.973,19.047,14.926,90.194,1
IR007_0,inner_race,0,SDT,256,20,855,14.0351,-0.5073,0,33.973,26.587,7.386,50.374,1
IR007_0,inner_race,0,SDT_BOUNDED,256,20,853,14.068,-0.5142,0,33.973,26.793,7.18,50.416,1
IR007_0,inner_race,0,IE,256,50,495,24.2424,-5.6875,0,33.973,25.38,8.593,55.491,1
IR007_0,inner_race,0,VW,256,50,495,24.2424,-2.7784,0,33.973,12.738,21.235,96.411,1
IR007_0,inner_race,0,DROP,256,50,495,24.2424,-2.3267,0,33.973,9.274,24.699,99.944,1
IR007_0,inner_race,0,IE_ORACLE,256,50,495,24.2424,-6.1376,0,33.973,26.207,7.766,46.274,1
IR007_0,inner_race,0,LTTB,256,50,495,24.2424,-4.7804,0,33.973,17.023,16.95,94.114,1
IR007_0,inner_race,0,SDT,256,50,495,24.2424,-1.3592,0,33.973,22.753,11.22,71.331,1
IR007_0,inner_race,0,SDT_BOUNDED,256,50,495,24.2424,-1.3592,0,33.973,22.753,11.22,71.331,1
IR007_0,inner_race,0,IE,512,5,2911,4.1223,3.2293,0,33.973,32.581,1.392,13.675,1
IR007_0,inner_race,0,VW,512,5,2911,4.1223,2.5704,0,33.973,29.641,4.332,12.691,1
IR007_0,inner_race,0,DROP,512,5,2911,4.1223,-1.0826,0,33.973,21.011,12.962,94.424,1
IR007_0,inner_race,0,IE_ORACLE,512,5,2911,4.1223,3.9897,0,33.973,32.628,1.345,15.076,1
IR007_0,inner_race,0,LTTB,512,5,2911,4.1223,-0.0263,0,33.973,28.917,5.056,62.542,1
IR007_0,inner_race,0,SDT,512,5,2912,4.1209,3.9672,0,33.973,33.478,0.495,13.056,1
IR007_0,inner_race,0,SDT_BOUNDED,512,5,2910,4.1237,3.9649,0,33.973,33.471,0.502,13.052,1
IR007_0,inner_race,0,IE,512,10,1711,7.0134,-0.4236,0,33.973,31.001,2.972,3.881,1
IR007_0,inner_race,0,VW,512,10,1711,7.0134,-0.4811,0,33.973,22.563,11.41,58.109,1
IR007_0,inner_race,0,DROP,512,10,1711,7.0134,-2.0728,0,33.973,20.421,13.552,98.513,1
IR007_0,inner_race,0,IE_ORACLE,512,10,1711,7.0134,0.1474,0,33.973,32.426,1.547,6.344,1
IR007_0,inner_race,0,LTTB,512,10,1711,7.0134,-1.9317,0,33.973,23.436,10.537,80.911,1
IR007_0,inner_race,0,SDT,512,10,1710,7.0175,1.1763,0,33.973,31.343,2.63,13.52,1
IR007_0,inner_race,0,SDT_BOUNDED,512,10,1710,7.0175,1.1763,0,33.973,31.343,2.63,13.52,1
IR007_0,inner_race,0,IE,512,20,1111,10.8011,-2.3126,0,33.973,29.154,4.819,24.035,1
IR007_0,inner_race,0,VW,512,20,1111,10.8011,-1.5465,0,33.973,19.184,14.789,80.388,1
IR007_0,inner_race,0,DROP,512,20,1111,10.8011,-2.0052,0,33.973,17.53,16.443,99.562,1
IR007_0,inner_race,0,IE_ORACLE,512,20,1111,10.8011,-1.9658,0,33.973,30.989,2.984,12.814,1
IR007_0,inner_race,0,LTTB,512,20,1111,10.8011,-2.6795,0,33.973,21.259,12.714,89.148,1
IR007_0,inner_race,0,SDT,512,20,1112,10.7914,-0.0183,0,33.973,28.778,5.195,36.864,1
IR007_0,inner_race,0,SDT_BOUNDED,512,20,1109,10.8206,-0.0181,0,33.973,28.715,5.258,37.006,1
IR007_0,inner_race,0,IE,512,50,751,15.9787,-3.8601,0,33.973,28.226,5.747,39.88,1
IR007_0,inner_race,0,VW,512,50,751,15.9787,-2.4011,0,33.973,17.012,16.961,88.768,1
IR007_0,inner_race,0,DROP,512,50,751,15.9787,-2.2773,0,33.973,9.355,24.618,99.88,1
IR007_0,inner_race,0,IE_ORACLE,512,50,751,15.9787,-3.9119,0,33.973,29.021,4.952,29.726,1
