signal,condition,load,diameter,mode,buffer_size,overload,retained,CR,f_nominal,f_orig,f_recon,freq_error_hz,amp_error_pct,pnr_db,pnr_orig_db,diagnosable
IR007_0,inner_race,0,0.007,VW,256,20,855,14.035,162.185,162.0,162.0,0.0,88.923,18.173,33.973,1
IR007_0,inner_race,0,0.007,DROP,256,20,855,14.035,162.185,162.0,162.0,0.0,99.556,17.307,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,256,20,855,14.035,162.185,162.0,162.0,0.0,23.008,29.381,33.973,1
IR007_0,inner_race,0,0.007,LTTB,256,20,855,14.035,162.185,162.0,162.0,0.0,90.194,19.047,33.973,1
IR007_0,inner_race,0,0.007,SDT,256,20,855,14.035,162.185,162.0,162.0,0.0,50.374,26.587,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,256,20,853,14.068,162.185,162.0,162.0,0.0,50.416,26.793,33.973,1
IR007_0,inner_race,0,0.007,IE,256,50,495,24.242,162.185,162.0,162.0,0.0,55.491,25.38,33.973,1
IR007_0,inner_race,0,0.007,VW,256,50,495,24.242,162.185,162.0,162.0,0.0,96.411,12.738,33.973,1
IR007_0,inner_race,0,0.007,DROP,256,50,495,24.242,162.185,162.0,162.0,0.0,99.944,9.274,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,256,50,495,24.242,162.185,162.0,162.0,0.0,46.274,26.207,33.973,1
IR007_0,inner_race,0,0.007,LTTB,256,50,495,24.242,162.185,162.0,162.0,0.0,94.114,17.023,33.973,1
IR007_0,inner_race,0,0.007,SDT,256,50,495,24.242,162.185,162.0,162.0,0.0,71.331,22.753,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,256,50,495,24.242,162.185,162.0,162.0,0.0,71.331,22.753,33.973,1
IR007_0,inner_race,0,0.007,IE,512,5,2911,4.122,162.185,162.0,162.0,0.0,13.675,32.581,33.973,1
IR007_0,inner_race,0,0.007,VW,512,5,2911,4.122,162.185,162.0,162.0,0.0,12.691,29.641,33.973,1
IR007_0,inner_race,0,0.007,DROP,512,5,2911,4.122,162.185,162.0,162.0,0.0,94.424,21.011,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,512,5,2911,4.122,162.185,162.0,162.0,0.0,15.076,32.628,33.973,1
IR007_0,inner_race,0,0.007,LTTB,512,5,2911,4.122,162.185,162.0,162.0,0.0,62.542,28.917,33.973,1
IR007_0,inner_race,0,0.007,SDT,512,5,2912,4.121,162.185,162.0,162.0,0.0,13.056,33.478,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,512,5,2910,4.124,162.185,162.0,162.0,0.0,13.052,33.471,33.973,1
IR007_0,inner_race,0,0.007,IE,512,10,1711,7.013,162.185,162.0,162.0,0.0,3.881,31.001,33.973,1
IR007_0,inner_race,0,0.007,VW,512,10,1711,7.013,162.185,162.0,162.0,0.0,58.109,22.563,33.973,1
IR007_0,inner_race,0,0.007,DROP,512,10,1711,7.013,162.185,162.0,162.0,0.0,98.513,20.421,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,512,10,1711,7.013,162.185,162.0,162.0,0.0,6.344,32.426,33.973,1
IR007_0,inner_race,0,0.007,LTTB,512,10,1711,7.013,162.185,162.0,162.0,0.0,80.911,23.436,33.973,1
IR007_0,inner_race,0,0.007,SDT,512,10,1710,7.018,162.185,162.0,162.0,0.0,13.52,31.343,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,512,10,1710,7.018,162.185,162.0,162.0,0.0,13.52,31.343,33.973,1
IR007_0,inner_race,0,0.007,IE,512,20,1111,10.801,162.185,162.0,162.0,0.0,24.035,29.154,33.973,1
IR007_0,inner_race,0,0.007,VW,512,20,1111,10.801,162.185,162.0,162.0,0.0,80.388,19.184,33.973,1
IR007_0,inner_race,0,0.007,DROP,512,20,1111,10.801,162.185,162.0,162.0,0.0,99.562,17.53,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,512,20,1111,10.801,162.185,162.0,162.0,0.0,12.814,30.989,33.973,1
IR007_0,inner_race,0,0.007,LTTB,512,20,1111,10.801,162.185,162.0,162.0,0.0,89.148,21.259,33.973,1
IR007_0,inner_race,0,0.007,SDT,512,20,1112,10.791,162.185,162.0,162.0,0.0,36.864,28.778,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,512,20,1109,10.821,162.185,162.0,162.0,0.0,37.006,28.715,33.973,1
IR007_0,inner_race,0,0.007,IE,512,50,751,15.979,162.185,162.0,162.0,0.0,39.88,28.226,33.973,1
IR007_0,inner_race,0,0.007,VW,512,50,751,15.979,162.185,162.0,162.0,0.0,88.768,17.012,33.973,1
IR007_0,inner_race,0,0.007,DROP,512,50,751,15.979,162.185,162.0,162.0,0.0,99.88,9.355,33.973,1
IR007_0,inner_race,0,0.007,IE_ORACLE,512,50,751,15.979,162.185,162.0,162.0,0.0,29.726,29.021,33.973,1
IR007_0,inner_race,0,0.007,LTTB,512,50,751,15.979,162.185,162.0,162.0,0.0,92.644,20.527,33.973,1
IR007_0,inner_race,0,0.007,SDT,512,50,752,15.957,162.185,162.0,162.0,0.0,57.027,26.695,33.973,1
IR007_0,inner_race,0,0.007,SDT_BOUNDED,512,50,752,15.957,162.185,162.0,162.0,0.0,57.027,26.695,33.973,1
IR007_1,inner_race,1,0.007,IE,128,5,2527,4.749,159.929,160.0,160.0,0.0,14.357,31.579,33.665,1
IR007_1,inner_race,1,0.007,VW,128,5,2527,4.749,159.929,160.0,160.0,0.0,18.451,29.758,33.665,1
IR007_1,inner_race,1,0.007,DROP,128,5,2527,4.749,159.929,160.0,160.0,0.0,93.92,21.344,33.665,1
