signal,domain,buffer_size,overload,method,policy,epsilon,emitted,delivered,max_occupancy,occupancy_ratio,overflow_events,dropped,stalled,max_dev,eps_violation_ratio,snr_db
ecg_100,ecg,256,10,PROPOSED,none,0.000000e+00,655,655,256,1.0000,0,0,0,0.000000e+00,0.0000,30.202165
ecg_100,ecg,256,10,SDT,unbounded,1.480769e-02,656,656,258,1.0078,0,0,0,0.000000e+00,0.0000,31.267664
ecg_100,ecg,256,10,SDT,fifo_drop,1.480769e-02,656,654,256,1.0000,2,2,0,0.000000e+00,0.0000,31.114813
ecg_100,ecg,256,10,SDT,stall,1.480769e-02,654,654,256,1.0000,8,0,8,8.250000e-02,5.5714,30.998413
ecg_100,ecg,256,20,PROPOSED,none,0.000000e+00,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,28.052541
ecg_100,ecg,256,20,SDT,unbounded,1.857143e-02,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,29.710173
ecg_100,ecg,256,20,SDT,fifo_drop,1.857143e-02,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,29.710173
ecg_100,ecg,256,20,SDT,stall,1.857143e-02,455,455,256,1.0000,0,0,0,0.000000e+00,0.0000,29.710173
ecg_100,ecg,512,2,PROPOSED,none,0.000000e+00,2511,2511,512,1.0000,0,0,0,0.000000e+00,0.0000,45.925236
ecg_100,ecg,512,2,SDT,unbounded,3.333333e-03,2509,2509,513,1.0020,0,0,0,0.000000e+00,0.0000,47.174429
ecg_100,ecg,512,2,SDT,fifo_drop,3.333333e-03,2509,2508,512,1.0000,1,1,0,0.000000e+00,0.0000,47.120451
ecg_100,ecg,512,2,SDT,stall,3.333333e-03,2508,2508,512,1.0000,2,0,2,1.500000e-02,4.5000,47.056550
ecg_100,ecg,512,5,PROPOSED,none,0.000000e+00,1311,1311,512,1.0000,0,0,0,0.000000e+00,0.0000,35.511687
ecg_100,ecg,512,5,SDT,unbounded,8.750000e-03,1313,1313,513,1.0020,0,0,0,0.000000e+00,0.0000,35.354871
ecg_100,ecg,512,5,SDT,fifo_drop,8.750000e-03,1313,1312,512,1.0000,1,1,0,0.000000e+00,0.0000,35.276804
ecg_100,ecg,512,5,SDT,stall,8.750000e-03,1312,1312,512,1.0000,2,0,2,7.000000e-03,0.8000,35.346626
ecg_100,ecg,512,10,PROPOSED,none,0.000000e+00,911,911,512,1.0000,0,0,0,0.000000e+00,0.0000,32.370138
ecg_100,ecg,512,10,SDT,unbounded,1.200000e-02,908,908,508,0.9922,0,0,0,0.000000e+00,0.0000,32.643240
ecg_100,ecg,512,10,SDT,fifo_drop,1.200000e-02,908,908,508,0.9922,0,0,0,0.000000e+00,0.0000,32.643240
ecg_100,ecg,512,10,SDT,stall,1.200000e-02,908,908,508,0.9922,0,0,0,0.000000e+00,0.0000,32.643240
ecg_100,ecg,512,20,PROPOSED,none,0.000000e+00,711,711,512,1.0000,0,0,0,0.000000e+00,0.0000,30.968848
ecg_100,ecg,512,20,SDT,unbounded,1.400000e-02,707,707,507,0.9902,0,0,0,0.000000e+00,0.0000,31.635273
ecg_100,ecg,512,20,SDT,fifo_drop,1.400000e-02,707,707,507,0.9902,0,0,0,0.000000e+00,0.0000,31.635273
ecg_100,ecg,512,20,SDT,stall,1.400000e-02,707,707,507,0.9902,0,0,0,0.000000e+00,0.0000,31.635273
ecg_101,ecg,64,2,PROPOSED,none,0.000000e+00,2063,2063,64,1.0000,0,0,0,0.000000e+00,0.0000,43.582300
ecg_101,ecg,64,2,SDT,unbounded,5.000000e-03,2072,2072,85,1.3281,0,0,0,0.000000e+00,0.0000,43.169327
