method_a,method_b,metric,domain,n_paired,n_dedup_groups_a,n_dedup_groups_b,n_rows_removed_a,n_rows_removed_b,mean_a,mean_b,mean_diff,sd_diff,se_diff,ci95_lo,ci95_hi,min_diff,max_diff,median_diff,d_z,effect_label,wins_a,wins_b,ties,win_rate_a,wilcoxon_stat,wilcoxon_p,n_signals,p_holm
IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,ALL,653,0,73,0,292,22.84746431852986,23.29590245022971,-0.44843813169984686,1.1575418213174666,0.04529811188589646,-0.5372224309962039,-0.3596538324034898,-5.889499999999998,5.063900000000004,-0.2969999999999988,-0.38740555497982176,small,222,431,0,0.33996937212863704,58244.5,8.194783228548308e-24,8,4.097391614274154e-23
IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,ecg,301,0,71,0,284,35.70451727574751,35.66875514950166,0.035762126245847056,0.9678992917451675,0.05578878770646303,-0.07358389765882048,0.1451081501505146,-3.3774000000000015,5.063900000000004,0.040299999999994895,0.036948189290815864,negligible,160,141,0,0.53156146179402,20695.0,0.17908449620976796,5,0.5372534886293039
IMP_INTERP_SPECTRAL,SDT_MATCHED,snr_db,vibration,352,0,2,0,8,11.853223011363637,12.715707386363636,-0.862484375,1.1468447998736921,0.06112703322044446,-0.9822933601120711,-0.7426753898879288,-5.889499999999998,0.7671000000000028,-0.6743499999999996,-0.7520497761292458,medium,62,290,0,0.17613636363636365,4938.0,1.4333300333449413e-42,3,1.7199960400139296e-41
IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,ALL,573,0,93,0,372,21.020197905759165,21.625232635253052,-0.6050347294938919,1.2247602186468443,0.0511650921504512,-0.7053183101087763,-0.5047511488790075,-5.935400000000001,5.079600000000006,-0.4438999999999993,-0.49400259763691085,small,145,428,0,0.2530541012216405,29258.5,1.0401118142724469e-40,8,8.320894514179575e-40
IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,ecg,217,0,92,0,368,36.15872073732719,36.12860783410138,0.030112903225806294,1.1500978867435567,0.07807373181488306,-0.12291161113136448,0.18313741758297705,-3.455600000000004,5.079600000000006,-0.002599999999997493,0.02618290457960012,negligible,108,109,0,0.4976958525345622,11477.5,0.7062464822027572,5,0.7062464822027572
IMP_INTERP_SPECTRAL,PLA_MATCHED,snr_db,vibration,356,0,1,0,4,11.792502808988763,12.78469213483146,-0.9921893258426968,1.102381525248716,0.05842610398609083,-1.1067044896554348,-0.8776741620299588,-5.935400000000001,0.6622000000000003,-0.7898499999999995,-0.9000416853129338,large,37,319,0,0.10393258426966293,1891.0,2.2849314184066584e-53,3,2.970410843928656e-52
IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,ALL,653,0,73,0,292,22.84746431852986,23.29590245022971,-0.44843813169984686,1.1575418213174666,0.04529811188589646,-0.5372224309962039,-0.3596538324034898,-5.889499999999998,5.063900000000004,-0.2969999999999988,-0.38740555497982176,small,222,431,0,0.33996937212863704,58244.5,8.194783228548308e-24,8,4.097391614274154e-23
IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,ecg,301,0,71,0,284,35.70451727574751,35.66875514950166,0.035762126245847056,0.9678992917451675,0.05578878770646303,-0.07358389765882048,0.1451081501505146,-3.3774000000000015,5.063900000000004,0.040299999999994895,0.036948189290815864,negligible,160,141,0,0.53156146179402,20695.0,0.17908449620976796,5,0.5372534886293039
IMP_INTERP_SPECTRAL,LTC_MATCHED,snr_db,vibration,352,0,2,0,8,11.853223011363637,12.715707386363636,-0.862484375,1.1468447998736921,0.06112703322044446,-0.9822933601120711,-0.7426753898879288,-5.889499999999998,0.7671000000000028,-0.6743499999999996,-0.7520497761292458,medium,62,290,0,0.17613636363636365,4938.0,1.4333300333449413e-42,3,1.7199960400139296e-41
IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,ALL,941,0,1,0,4,27.49204601487779,29.1254082890542,-1.633362274176408,0.9894413233388665,0.032254865309969266,-1.6965818101839478,-1.5701427381688682,-9.729099999999995,0.4151999999999999,-1.5253000000000014,-1.650792457974802,large,10,931,0,0.010626992561105207,156.0,2.2905466051395688e-155,8,4.5810932102791374e-154
IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,ecg,581,0,1,0,4,37.29793975903614,38.97838278829604,-1.6804430292598964,0.8554575695601181,0.0354903602174018,-1.7500041352860038,-1.610881923233789,-9.729099999999995,-0.42020000000000124,-1.5766000000000027,-1.964379168593939,large,0,581,0,0.0,0.0,7.548608267425284e-97,5,1.2832634054622983e-95
IMP_INTERP_SPECTRAL,RDP_OFFLINE,snr_db,vibration,360,0,0,0,0,11.666423055555555,13.223802222222222,-1.5573791666666668,1.1711953356007734,0.06172741409106222,-1.6783648982851487,-1.4363934350481848,-6.078000000000003,0.4151999999999999,-1.2752999999999997,-1.3297347755127435,large,10,350,0,0.027777777777777776,156.0,3.4499631499747675e-60,3,5.174944724962152e-59
IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,ALL,956,0,1,0,4,27.962552301255226,22.998141317991635,4.964410983263598,3.341459115171233,0.10807051112516548,4.752592781458273,5.176229185068922,-2.9046000000000003,19.797599999999996,4.240949999999998,1.4857015489801066,large,935,21,0,0.9780334728033473,1470.0,4.968241174876408e-156,8,1.0433306467240456e-154
IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,ecg,596,0,1,0,4,37.805851845637584,32.22114010067114,5.584711744966443,3.3757831008467747,0.13827746364812127,5.313687916216125,5.8557355737167605,1.1068999999999996,19.797599999999996,4.458100000000002,1.6543455483160587,large,596,0,0,1.0,0.0,2.6881920840229203e-99,5,4.838745751241257e-98
IMP_INTERP_SPECTRAL,LTTB_OFFLINE,snr_db,vibration,360,0,0,0,0,11.666423055555555,7.728954444444445,3.9374686111111106,3.0196000335483686,0.1591468954788949,3.6255406959724765,4.249396526249744,-2.9046000000000003,14.6397,3.572050000000001,1.3039702501540058,large,339,21,0,0.9416666666666667,994.0,3.3431023947867043e-57,3,4.680343352701386e-56
IMP_INTERP_SPECTRAL,DROP,snr_db,ALL,960,0,0,0,0,28.005521770833337,17.14568458333333,10.8598371875,4.7044670097893615,0.15183601984747,10.562238588598959,11.157435786401042,-0.021299999999999875,25.722199999999997,10.529150000000001,2.3084096806082695,large,959,1,0,0.9989583333333333,1.0,1.1130553758717577e-158,8,2.448721826917867e-157
IMP_INTERP_SPECTRAL,DROP,snr_db,ecg,600,0,0,0,0,37.808980999999996,25.180175166666668,12.628805833333335,4.086302059595333,0.1668225830148757,12.301833570624177,12.955778096042492,4.5230999999999995,25.722199999999997,11.97935,3.090521857942133,large,600,0,0,1.0,0.0,5.978229083437305e-100,5,1.1358635258530879e-98
IMP_INTERP_SPECTRAL,DROP,snr_db,vibration,360,0,0,0,0,11.666423055555555,3.754866944444444,7.9115561111111115,4.161026389934837,0.2193053466043669,7.481717631766553,8.341394590455671,-0.021299999999999875,18.8184,7.84705,1.9013472565923835,large,359,1,0,0.9972222222222222,1.0,9.482448985203203e-61,3,1.5171918376325125e-59
IMP_INTERP_SPECTRAL,SDT_MATCHED,spectral_correlation,vibration,252,14,21,56,84,0.9093424603174602,0.8630587301587301,0.04628373015873016,0.043044609645071896,0.002711555533397916,0.04096908131327025,0.05159837900419008,-0.05049999999999999,0.16279999999999994,0.033999999999999975,1.0752503168309975,large,248,3,1,0.9841269841269841,195.5,6.519635151400278e-42,3,6.519635151400278e-41
IMP_INTERP_SPECTRAL,PLA_MATCHED,spectral_correlation,vibration,240,14,24,56,96,0.9254229166666667,0.8870929166666667,0.03833,0.04448931440508282,0.002871772896251191,0.03270132512334767,0.04395867487665234,-0.06230000000000002,0.18920000000000003,0.022199999999999998,0.8615551961758456,large,231,8,1,0.9625,455.5,1.6579597513542302e-38,3,1.1605718259479612e-37
IMP_INTERP_SPECTRAL,LTC_MATCHED,spectral_correlation,vibration,252,14,21,56,84,0.9093424603174602,0.8630587301587301,0.04628373015873016,0.043044609645071896,0.002711555533397916,0.04096908131327025,0.05159837900419008,-0.05049999999999999,0.16279999999999994,0.033999999999999975,1.0752503168309975,large,248,3,1,0.9841269841269841,195.5,6.519635151400278e-42,3,6.519635151400278e-41
IMP_INTERP_SPECTRAL,RDP_OFFLINE,spectral_correlation,vibration,200,14,34,56,136,0.928818,0.8891315,0.0396865,0.05016600850973689,0.0035472724802297004,0.032733845938749784,0.046639154061250215,-0.00550000000000006,0.20829999999999999,0.019399999999999973,0.791103402063513,medium,193,6,1,0.965,204.0,4.4490609662730085e-33,3,2.669436579763805e-32
