record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
105,FIFO,64,5,2063,4.847,0.961,0.9737,0.9487,0.961
105,IE,64,10,1063,9.407,0.961,0.9737,0.9487,0.961
105,FIFO,64,10,1063,9.407,0.961,0.9737,0.9487,0.961
105,IE,64,20,563,17.762,0.961,0.9737,0.9487,0.961
105,FIFO,64,20,563,17.762,0.8857,1.0,0.7949,0.961
105,IE,64,50,263,38.023,0.987,1.0,0.9744,0.961
105,FIFO,64,50,263,38.023,0.4407,0.65,0.3333,0.961
105,IE,128,5,2127,4.701,0.961,0.9737,0.9487,0.961
105,FIFO,128,5,2127,4.701,0.961,0.9737,0.9487,0.961
105,IE,128,10,1127,8.873,0.961,0.9737,0.9487,0.961
105,FIFO,128,10,1127,8.873,0.961,0.9737,0.9487,0.961
105,IE,128,20,627,15.949,0.961,0.9737,0.9487,0.961
105,FIFO,128,20,627,15.949,0.9333,0.9722,0.8974,0.961
105,IE,128,50,327,30.581,0.961,0.9737,0.9487,0.961
105,FIFO,128,50,327,30.581,0.4828,0.7368,0.359,0.961
105,IE,256,5,2255,4.435,0.961,0.9737,0.9487,0.961
105,FIFO,256,5,2255,4.435,0.987,1.0,0.9744,0.961
105,IE,256,10,1255,7.968,0.961,0.9737,0.9487,0.961
105,FIFO,256,10,1255,7.968,0.987,1.0,0.9744,0.961
105,IE,256,20,755,13.245,0.961,0.9737,0.9487,0.961
105,FIFO,256,20,755,13.245,0.9737,1.0,0.9487,0.961
105,IE,256,50,455,21.978,0.987,1.0,0.9744,0.961
105,FIFO,256,50,455,21.978,0.6885,0.9545,0.5385,0.961
105,IE,512,5,2511,3.982,0.961,0.9737,0.9487,0.961
105,FIFO,512,5,2511,3.982,0.961,0.9737,0.9487,0.961
105,IE,512,10,1511,6.618,0.961,0.9737,0.9487,0.961
105,FIFO,512,10,1511,6.618,0.961,0.9737,0.9487,0.961
105,IE,512,20,1011,9.891,0.961,0.9737,0.9487,0.961
105,FIFO,512,20,1011,9.891,0.9211,0.9459,0.8974,0.961
105,IE,512,50,711,14.065,0.987,1.0,0.9744,0.961
105,FIFO,512,50,711,14.065,0.4746,0.7,0.359,0.961
106,IE,32,5,2031,4.924,0.9688,1.0,0.9394,0.9688
106,FIFO,32,5,2031,4.924,0.9688,1.0,0.9394,0.9688
106,IE,32,10,1031,9.699,0.9688,1.0,0.9394,0.9688
106,FIFO,32,10,1031,9.699,0.9688,1.0,0.9394,0.9688
106,IE,32,20,531,18.832,0.9688,1.0,0.9394,0.9688
106,FIFO,32,20,531,18.832,0.68,1.0,0.5152,0.9688
106,IE,32,50,231,43.29,0.9688,1.0,0.9394,0.9688
106,FIFO,32,50,231,43.29,0.4912,0.5833,0.4242,0.9688
106,IE,64,5,2063,4.847,0.9688,1.0,0.9394,0.9688
106,FIFO,64,5,2063,4.847,0.9688,1.0,0.9394,0.9688
106,IE,64,10,1063,9.407,0.9688,1.0,0.9394,0.9688
106,FIFO,64,10,1063,9.407,0.9206,0.9667,0.8788,0.9688
106,IE,64,20,563,17.762,0.9688,1.0,0.9394,0.9688
106,FIFO,64,20,563,17.762,0.7419,0.7931,0.697,0.9688
106,IE,64,50,263,38.023,0.9688,1.0,0.9394,0.9688
106,FIFO,64,50,263,38.023,0.3404,0.5714,0.2424,0.9688
106,IE,128,5,2127,4.701,0.9688,1.0,0.9394,0.9688
106,FIFO,128,5,2127,4.701,0.9688,1.0,0.9394,0.9688
106,IE,128,10,1127,8.873,0.9688,1.0,0.9394,0.9688
106,FIFO,128,10,1127,8.873,0.9688,1.0,0.9394,0.9688
106,IE,128,20,627,15.949,0.9688,1.0,0.9394,0.9688
106,FIFO,128,20,627,15.949,0.7547,1.0,0.6061,0.9688
106,IE,128,50,327,30.581,0.9688,1.0,0.9394,0.9688
106,FIFO,128,50,327,30.581,0.4615,0.6316,0.3636,0.9688
106,IE,256,5,2255,4.435,0.9688,1.0,0.9394,0.9688
106,FIFO,256,5,2255,4.435,0.9688,1.0,0.9394,0.9688
106,IE,256,10,1255,7.968,0.9688,1.0,0.9394,0.9688
106,FIFO,256,10,1255,7.968,0.9688,1.0,0.9394,0.9688
106,IE,256,20,755,13.245,0.9688,1.0,0.9394,0.9688
106,FIFO,256,20,755,13.245,0.4681,0.7857,0.3333,0.9688
106,IE,256,50,455,21.978,0.9688,1.0,0.9394,0.9688
