alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.1,0.5,0.4,2,spikes,1,12.0695,1.414457e-03,0.7278,1.3435e-01,536,0
0.1,0.5,0.4,2,spikes,2,11.6469,1.559033e-03,0.7335,1.6355e-01,537,0
0.1,0.5,0.4,2,ecg,0,33.4830,5.868135e-11,0.8713,5.8333e-05,536,0
0.1,0.5,0.4,2,ecg,1,33.2142,6.242823e-11,0.8618,5.8333e-05,538,0
0.1,0.5,0.4,2,ecg,2,33.5606,5.764146e-11,0.8708,5.8333e-05,534,0
0.1,0.6,0.3,2,sine,0,25.0364,1.563537e-03,0.6568,1.6357e-01,531,0
0.1,0.6,0.3,2,sine,1,24.8923,1.616306e-03,0.6414,1.8310e-01,534,0
0.1,0.6,0.3,2,sine,2,25.1192,1.534013e-03,0.6412,1.8310e-01,537,0
0.1,0.6,0.3,2,chirp,0,24.2276,1.814856e-03,0.6868,1.8340e-01,535,0
0.1,0.6,0.3,2,chirp,1,24.0839,1.875883e-03,0.6729,1.8341e-01,534,0
0.1,0.6,0.3,2,chirp,2,24.2566,1.802757e-03,0.6945,1.6868e-01,533,0
0.1,0.6,0.3,2,spikes,0,11.3448,1.671327e-03,0.7131,1.6669e-01,536,0
0.1,0.6,0.3,2,spikes,1,11.8053,1.503183e-03,0.7277,1.6355e-01,534,0
0.1,0.6,0.3,2,spikes,2,11.6731,1.549638e-03,0.7274,1.7033e-01,523,0
0.1,0.6,0.3,2,ecg,0,32.8963,6.716841e-11,0.8663,5.8333e-05,524,0
0.1,0.6,0.3,2,ecg,1,33.1400,6.350430e-11,0.8738,5.8333e-05,535,0
0.1,0.6,0.3,2,ecg,2,33.1872,6.281801e-11,0.8693,5.8333e-05,536,0
0.1,0.7,0.2,2,sine,0,24.7958,1.652600e-03,0.6196,1.7517e-01,528,0
0.1,0.7,0.2,2,sine,1,24.8133,1.645961e-03,0.6063,1.8310e-01,536,0
0.1,0.7,0.2,2,sine,2,24.7316,1.677234e-03,0.6346,1.7517e-01,534,0
0.1,0.7,0.2,2,chirp,0,23.8533,1.978217e-03,0.6540,1.6934e-01,537,0
0.1,0.7,0.2,2,chirp,1,23.9209,1.947633e-03,0.6579,1.7176e-01,533,0
0.1,0.7,0.2,2,chirp,2,24.0020,1.911603e-03,0.6513,1.5979e-01,536,0
0.1,0.7,0.2,2,spikes,0,11.1814,1.735415e-03,0.7027,1.6669e-01,532,0
