mode,buffer_size,repeat,evictions,avg_us,trial_max_us,wall_clock_ms
IMP_INTERP_ERROR,2048,74,47952,5.9017,61.8770,288.0590
IMP_INTERP_ERROR,2048,75,47952,5.8024,59.9540,283.2299
IMP_INTERP_ERROR,2048,76,47952,5.7814,49.2740,282.1024
IMP_INTERP_ERROR,2048,77,47952,5.8114,44.4650,283.6228
IMP_INTERP_ERROR,2048,78,47952,5.7852,54.0240,282.2516
IMP_INTERP_ERROR,2048,79,47952,5.8320,56.6380,284.6267
IMP_INTERP_ERROR,2048,80,47952,5.7900,41.9200,282.5741
IMP_INTERP_ERROR,2048,81,47952,5.7699,49.5750,281.5502
IMP_INTERP_ERROR,2048,82,47952,5.8003,58.5220,283.0423
IMP_INTERP_ERROR,2048,83,47952,5.7955,53.5230,282.8060
IMP_INTERP_ERROR,2048,84,47952,5.8028,65.6550,283.2693
IMP_INTERP_ERROR,2048,85,47952,5.7839,108.0410,282.2755
IMP_INTERP_ERROR,2048,86,47952,5.7629,51.5780,281.1945
IMP_INTERP_ERROR,2048,87,47952,5.7628,57.8700,281.1471
IMP_INTERP_ERROR,2048,88,47952,5.7628,41.4590,281.2221
IMP_INTERP_ERROR,2048,89,47952,5.7910,44.4950,282.5823
IMP_INTERP_ERROR,2048,90,47952,5.7615,79.5310,281.1632
IMP_INTERP_ERROR,2048,91,47952,5.7740,49.4040,281.7366
IMP_INTERP_ERROR,2048,92,47952,5.7689,54.4230,281.5078
IMP_INTERP_ERROR,2048,93,47952,5.7649,49.1830,281.3302
IMP_INTERP_ERROR,2048,94,47952,5.7960,62.2690,282.8591
IMP_INTERP_ERROR,2048,95,47952,5.7847,105.2550,282.3176
IMP_INTERP_ERROR,2048,96,47952,5.7664,47.6800,281.3489
IMP_INTERP_ERROR,2048,97,47952,5.7659,55.8960,281.3335
IMP_INTERP_ERROR,2048,98,47952,5.7676,44.8750,281.4445
IMP_INTERP_ERROR,2048,99,47952,5.7781,77.9180,281.9471
IMP_INTERP_ERROR,2048,100,47952,5.7996,64.2720,283.0617
IMP_INTERP_ERROR,2048,101,47952,5.7722,50.1150,281.6765
IMP_INTERP_ERROR,2048,102,47952,5.7737,66.8070,281.7203
IMP_INTERP_ERROR,2048,103,47952,5.8050,49.2230,283.3141
IMP_INTERP_ERROR,2048,104,47952,5.9656,66.6960,291.0677
IMP_INTERP_ERROR,2048,105,47952,6.0566,473.4800,295.5659
IMP_INTERP_ERROR,2048,106,47952,5.9614,75.4530,290.8505
IMP_INTERP_ERROR,2048,107,47952,5.8077,182.9930,283.4221
IMP_INTERP_ERROR,2048,108,47952,5.8334,54.5330,284.6402
IMP_INTERP_ERROR,2048,109,47952,5.8187,347.1900,283.9539
IMP_INTERP_ERROR,2048,110,47952,5.8012,59.1070,283.0909
