buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
64,15,4,PROPOSED,1.0159,0.5644,0.9883,0.6462,0.1322,0.0453,99,67,51,60,56.0000,277
64,15,4,RDP,0.9111,0.6386,0.5086,0.3496,0.9365,0.3343,26,34,124,93,272.0000,277
128,3,0,PROPOSED,17.0003,0.9925,0.9998,0.9987,0.9950,0.9887,317,245,229,241,5.0000,1032
128,3,0,RDP,21.3728,0.9976,0.9989,0.9981,0.9988,0.9990,115,212,316,389,18.0000,1032
128,3,1,PROPOSED,17.0229,0.9927,0.9998,0.9988,0.9950,0.9889,317,246,227,241,5.0000,1031
128,3,1,RDP,21.3689,0.9976,0.9989,0.9981,0.9988,0.9990,115,212,315,389,18.0000,1031
128,3,2,PROPOSED,16.9934,0.9926,0.9998,0.9987,0.9949,0.9889,314,244,228,241,5.0000,1027
128,3,2,RDP,21.2507,0.9975,0.9988,0.9981,0.9988,0.9990,114,209,315,389,18.0000,1027
128,3,3,PROPOSED,17.2223,0.9929,0.9998,0.9988,0.9952,0.9896,323,248,233,245,5.0000,1049
128,3,3,RDP,21.8135,0.9978,0.9988,0.9984,0.9990,0.9991,116,217,323,393,18.0000,1049
128,3,4,PROPOSED,17.4406,0.9932,0.9998,0.9988,0.9956,0.9896,329,254,240,246,5.0000,1069
128,3,4,RDP,22.2489,0.9980,0.9989,0.9987,0.9991,0.9991,117,228,329,395,18.0000,1069
128,5,0,PROPOSED,11.0087,0.9648,0.9996,0.9949,0.9884,0.9319,249,161,148,169,8.0000,727
128,5,0,RDP,15.2386,0.9903,0.9937,0.9954,0.9945,0.9948,61,159,212,295,20.0000,727
128,5,1,PROPOSED,9.6744,0.9438,0.9996,0.9958,0.9892,0.8603,243,164,148,161,8.0000,716
128,5,1,RDP,15.0565,0.9897,0.9936,0.9953,0.9940,0.9947,58,157,207,294,20.0000,716
128,5,2,PROPOSED,10.8761,0.9612,0.9996,0.9955,0.9885,0.9255,243,161,145,167,8.0000,716
128,5,2,RDP,15.0565,0.9897,0.9936,0.9953,0.9940,0.9947,58,157,207,294,20.0000,716
128,5,3,PROPOSED,9.9394,0.9485,0.9995,0.9952,0.9890,0.8803,241,163,148,163,9.0000,715
128,5,3,RDP,14.9786,0.9893,0.9928,0.9953,0.9940,0.9947,57,157,207,294,21.0000,715
128,5,4,PROPOSED,9.5063,0.9428,0.9997,0.9957,0.9869,0.8710,245,159,154,158,9.0000,716
128,5,4,RDP,15.0565,0.9897,0.9936,0.9953,0.9940,0.9947,58,157,207,294,20.0000,716
128,8,0,PROPOSED,4.7683,0.8161,0.9976,0.9836,0.8864,0.3525,178,115,118,102,23.0000,513
128,8,0,RDP,11.6107,0.9765,0.9879,0.9887,0.9896,0.9850,48,117,132,216,21.0000,513
128,8,1,PROPOSED,4.5064,0.7929,0.9981,0.9855,0.8431,0.3217,177,116,118,102,23.0000,513
128,8,1,RDP,11.6107,0.9765,0.9879,0.9887,0.9896,0.9850,48,117,132,216,21.0000,513
128,8,2,PROPOSED,4.8468,0.8000,0.9980,0.9889,0.9077,0.3051,176,113,120,102,23.0000,511
128,8,2,RDP,11.5780,0.9767,0.9879,0.9880,0.9896,0.9848,48,116,132,215,21.0000,511
128,8,3,PROPOSED,4.6091,0.8001,0.9983,0.9868,0.8805,0.2879,177,117,118,101,22.0000,513
128,8,3,RDP,11.6107,0.9765,0.9879,0.9887,0.9896,0.9850,48,117,132,216,21.0000,513
128,8,4,PROPOSED,4.7610,0.8085,0.9978,0.9868,0.9110,0.3270,177,117,122,98,22.0000,514
128,8,4,RDP,11.6308,0.9766,0.9879,0.9887,0.9896,0.9852,48,117,132,217,21.0000,514
128,10,0,PROPOSED,3.6776,0.7363,0.9972,0.9822,0.7811,0.1507,153,99,106,83,33.0000,441
128,10,0,RDP,9.8899,0.9657,0.9856,0.9717,0.9896,0.9799,43,88,132,178,21.0000,441
128,10,1,PROPOSED,3.7465,0.7446,0.9970,0.9825,0.7938,0.1890,151,102,106,83,26.0000,442
128,10,1,RDP,9.9271,0.9666,0.9856,0.9732,0.9896,0.9799,43,89,132,178,21.0000,442
128,10,2,PROPOSED,3.3492,0.7190,0.9958,0.9793,0.7112,0.1386,149,103,104,84,30.0000,440
128,10,2,RDP,8.9913,0.9621,0.9700,0.9717,0.9896,0.9799,42,88,132,178,36.0000,440
128,10,3,PROPOSED,3.8063,0.7510,0.9966,0.9848,0.7464,0.1943,151,103,104,83,24.0000,441
128,10,3,RDP,9.8899,0.9657,0.9856,0.9717,0.9896,0.9799,43,88,132,178,21.0000,441
128,10,4,PROPOSED,3.6380,0.7350,0.9968,0.9810,0.7366,0.1871,152,99,103,86,25.0000,440
128,10,4,RDP,8.9913,0.9621,0.9700,0.9717,0.9896,0.9799,42,88,132,178,36.0000,440
128,15,0,PROPOSED,2.5400,0.6803,0.9938,0.9806,0.5120,-0.0067,113,88,82,57,21.0000,340
128,15,0,RDP,2.2761,0.7377,0.6209,0.5013,0.9821,0.7006,29,46,130,135,158.0000,340
128,15,1,PROPOSED,2.4933,0.6717,0.9933,0.9831,0.5163,-0.0222,113,89,81,57,39.0000,340
128,15,1,RDP,2.2761,0.7377,0.6209,0.5013,0.9821,0.7006,29,46,130,135,158.0000,340
128,15,2,PROPOSED,2.4455,0.6849,0.9942,0.9822,0.5099,-0.0052,113,88,81,59,20.0000,341
128,15,2,RDP,2.3314,0.7391,0.6209,0.5013,0.9821,0.7241,29,46,130,136,158.0000,341
128,15,3,PROPOSED,2.5427,0.6642,0.9942,0.9836,0.4917,-0.0086,114,88,82,55,25.0000,339
128,15,3,RDP,2.2892,0.7376,0.6209,0.5013,0.9821,0.7072,29,46,130,134,158.0000,339
