signal,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving,is_stationary
stationary_f12,8,3,RDP,13.1580,0.9801,4.0000,648,1
stationary_f12,8,4,PROPOSED,11.2667,0.9807,5.0000,638,1
stationary_f12,8,4,RDP,13.0254,0.9792,5.0000,638,1
stationary_f12,10,0,PROPOSED,6.8148,0.9230,20.0000,568,1
stationary_f12,10,0,RDP,12.2512,0.9777,5.0000,568,1
stationary_f12,10,1,PROPOSED,6.9198,0.9232,13.0000,569,1
stationary_f12,10,1,RDP,12.2503,0.9778,5.0000,569,1
stationary_f12,10,2,PROPOSED,6.8282,0.9251,20.0000,568,1
stationary_f12,10,2,RDP,12.2512,0.9777,5.0000,568,1
stationary_f12,10,3,PROPOSED,7.4401,0.9367,20.0000,569,1
stationary_f12,10,3,RDP,12.2503,0.9778,5.0000,569,1
stationary_f12,10,4,PROPOSED,6.9743,0.9268,20.0000,569,1
stationary_f12,10,4,RDP,12.2503,0.9778,5.0000,569,1
stationary_f12,15,0,PROPOSED,2.9431,0.7589,30.0000,458,1
stationary_f12,15,0,RDP,7.9774,0.9368,69.0000,458,1
stationary_f12,15,1,PROPOSED,3.3014,0.7862,26.0000,467,1
stationary_f12,15,1,RDP,9.2126,0.9539,44.0000,467,1
stationary_f12,15,2,PROPOSED,3.4885,0.7929,23.0000,468,1
stationary_f12,15,2,RDP,9.0284,0.9505,44.0000,468,1
stationary_f12,15,3,PROPOSED,3.0682,0.7698,22.0000,471,1
stationary_f12,15,3,RDP,9.7303,0.9603,35.0000,471,1
stationary_f12,15,4,PROPOSED,3.2379,0.7800,21.0000,471,1
stationary_f12,15,4,RDP,9.7303,0.9603,35.0000,471,1
stationary_transient,3,0,PROPOSED,25.4669,0.9992,5.0000,1174,1
stationary_transient,3,0,RDP,28.0757,0.9995,4.0000,1174,1
stationary_transient,3,1,PROPOSED,25.4017,0.9992,5.0000,1172,1
stationary_transient,3,1,RDP,28.0319,0.9995,4.0000,1172,1
stationary_transient,3,2,PROPOSED,25.3765,0.9992,5.0000,1170,1
stationary_transient,3,2,RDP,27.9886,0.9995,4.0000,1170,1
stationary_transient,3,3,PROPOSED,25.3676,0.9992,5.0000,1174,1
stationary_transient,3,3,RDP,28.0757,0.9995,4.0000,1174,1
stationary_transient,3,4,PROPOSED,25.2825,0.9992,5.0000,1166,1
stationary_transient,3,4,RDP,27.9032,0.9995,4.0000,1166,1
stationary_transient,5,0,PROPOSED,20.7769,0.9985,6.0000,850,1
stationary_transient,5,0,RDP,23.2992,0.9986,4.0000,850,1
stationary_transient,5,1,PROPOSED,20.8251,0.9983,6.0000,856,1
stationary_transient,5,1,RDP,23.3584,0.9986,4.0000,856,1
stationary_transient,5,2,PROPOSED,21.5416,0.9987,6.0000,873,1
stationary_transient,5,2,RDP,23.5307,0.9987,4.0000,873,1
stationary_transient,5,3,PROPOSED,21.0802,0.9986,6.0000,850,1
stationary_transient,5,3,RDP,23.2992,0.9986,4.0000,850,1
stationary_transient,5,4,PROPOSED,20.8376,0.9985,6.0000,848,1
stationary_transient,5,4,RDP,23.2796,0.9986,4.0000,848,1
stationary_transient,8,0,PROPOSED,15.8236,0.9944,7.0000,645,1
stationary_transient,8,0,RDP,20.3018,0.9971,5.0000,645,1
stationary_transient,8,1,PROPOSED,15.8084,0.9942,7.0000,641,1
stationary_transient,8,1,RDP,20.1511,0.9969,5.0000,641,1
stationary_transient,8,2,PROPOSED,15.6947,0.9940,8.0000,641,1
stationary_transient,8,2,RDP,20.1511,0.9969,5.0000,641,1
stationary_transient,8,3,PROPOSED,15.7955,0.9939,7.0000,642,1
stationary_transient,8,3,RDP,20.2061,0.9970,5.0000,642,1
stationary_transient,8,4,PROPOSED,15.8888,0.9942,7.0000,640,1
stationary_transient,8,4,RDP,20.0901,0.9968,5.0000,640,1
stationary_transient,10,0,PROPOSED,14.9684,0.9923,8.0000,571,1
stationary_transient,10,0,RDP,17.9541,0.9954,7.0000,571,1
stationary_transient,10,1,PROPOSED,14.7881,0.9923,8.0000,569,1
stationary_transient,10,1,RDP,17.9059,0.9953,7.0000,569,1
stationary_transient,10,2,PROPOSED,14.8377,0.9921,7.0000,568,1
stationary_transient,10,2,RDP,17.8515,0.9953,7.0000,568,1
stationary_transient,10,3,PROPOSED,14.6924,0.9916,8.0000,568,1
