buf_size,overload,trial,method,snr_db,spec_corr_global,sc_seg1,sc_seg2,sc_seg3,sc_seg4,n_seg1,n_seg2,n_seg3,n_seg4,max_gap,n_surviving
256,15,4,RDP,13.8869,0.9871,0.9899,0.9889,0.9735,1.0000,39,60,120,250,25.0000,469
512,3,0,PROPOSED,32.4251,0.9998,1.0000,0.9996,0.9997,1.0000,475,281,410,252,4.0000,1418
512,3,0,RDP,49.9889,1.0000,1.0000,1.0000,1.0000,1.0000,239,447,481,251,4.0000,1418
512,3,1,PROPOSED,32.4249,0.9998,1.0000,0.9996,0.9997,1.0000,473,281,410,252,4.0000,1416
512,3,1,RDP,49.9223,1.0000,1.0000,1.0000,1.0000,1.0000,239,445,481,251,4.0000,1416
512,3,2,PROPOSED,32.5969,0.9998,1.0000,0.9996,0.9998,1.0000,477,283,413,252,4.0000,1425
512,3,2,RDP,50.2303,1.0000,1.0000,1.0000,1.0000,1.0000,239,454,481,251,4.0000,1425
512,3,3,PROPOSED,32.6277,0.9998,1.0000,0.9996,0.9998,1.0000,478,283,414,252,4.0000,1427
512,3,3,RDP,50.3019,1.0000,1.0000,1.0000,1.0000,1.0000,239,456,481,251,4.0000,1427
512,3,4,PROPOSED,32.4247,0.9998,1.0000,0.9996,0.9997,1.0000,473,281,410,252,4.0000,1416
512,3,4,RDP,49.9223,1.0000,1.0000,1.0000,1.0000,1.0000,239,445,481,251,4.0000,1416
512,5,0,PROPOSED,25.3843,0.9990,1.0000,0.9994,0.9968,1.0000,341,218,289,251,8.0000,1099
512,5,0,RDP,33.2155,0.9998,0.9999,0.9997,0.9999,1.0000,101,306,441,251,8.0000,1099
512,5,1,PROPOSED,25.3254,0.9990,1.0000,0.9994,0.9968,1.0000,340,218,288,251,8.0000,1097
512,5,1,RDP,33.1519,0.9998,0.9999,0.9997,0.9999,1.0000,101,304,441,251,8.0000,1097
512,5,2,PROPOSED,25.3625,0.9990,1.0000,0.9994,0.9968,1.0000,340,218,288,251,8.0000,1097
512,5,2,RDP,33.1519,0.9998,0.9999,0.9997,0.9999,1.0000,101,304,441,251,8.0000,1097
512,5,3,PROPOSED,25.3869,0.9990,1.0000,0.9994,0.9968,1.0000,342,218,289,251,8.0000,1100
512,5,3,RDP,33.2476,0.9998,0.9999,0.9997,0.9999,1.0000,101,307,441,251,8.0000,1100
512,5,4,PROPOSED,25.3843,0.9990,1.0000,0.9994,0.9968,1.0000,341,218,289,251,8.0000,1099
512,5,4,RDP,33.2155,0.9998,0.9999,0.9997,0.9999,1.0000,101,306,441,251,8.0000,1099
512,8,0,PROPOSED,21.3629,0.9977,0.9999,0.9975,0.9936,1.0000,250,164,231,251,8.0000,896
