spike_amp,overload,trial,method,snr_db,spec_corr_global,spec_corr_seg1,spec_corr_seg2,n_seg1,n_seg2,frac_seg1,max_gap,n_surviving
1.0000,8,1,RDP,18.3852,0.9958,0.9977,0.9945,141,501,0.2196,13.0000,642
1.0000,8,2,PROPOSED,14.9687,0.9906,0.9983,0.9843,310,333,0.4821,16.0000,643
1.0000,8,2,RDP,18.3830,0.9958,0.9977,0.9945,141,502,0.2193,13.0000,643
1.0000,8,3,PROPOSED,15.1661,0.9911,0.9985,0.9851,308,333,0.4805,16.0000,641
1.0000,8,3,RDP,18.3628,0.9958,0.9977,0.9945,141,500,0.2200,13.0000,641
1.0000,8,4,PROPOSED,15.0723,0.9911,0.9986,0.9848,311,332,0.4837,16.0000,643
1.0000,8,4,RDP,18.3830,0.9958,0.9977,0.9945,141,502,0.2193,13.0000,643
1.0000,10,0,PROPOSED,14.1480,0.9899,0.9976,0.9832,263,306,0.4622,18.0000,569
1.0000,10,0,RDP,15.4087,0.9918,0.9916,0.9936,98,471,0.1722,17.0000,569
1.0000,10,1,PROPOSED,14.1555,0.9900,0.9974,0.9831,262,306,0.4613,17.0000,568
1.0000,10,1,RDP,15.4004,0.9918,0.9916,0.9937,98,470,0.1725,17.0000,568
1.0000,10,2,PROPOSED,14.2277,0.9901,0.9973,0.9836,265,303,0.4665,17.0000,568
1.0000,10,2,RDP,15.4004,0.9918,0.9916,0.9937,98,470,0.1725,17.0000,568
1.0000,10,3,PROPOSED,14.2004,0.9898,0.9974,0.9829,265,303,0.4665,17.0000,568
1.0000,10,3,RDP,15.4004,0.9918,0.9916,0.9937,98,470,0.1725,17.0000,568
1.0000,10,4,PROPOSED,14.1558,0.9897,0.9973,0.9834,260,308,0.4577,18.0000,568
1.0000,10,4,RDP,15.4004,0.9918,0.9916,0.9937,98,470,0.1725,17.0000,568
1.0000,15,0,PROPOSED,13.0324,0.9887,0.9956,0.9801,205,264,0.4371,18.0000,469
1.0000,15,0,RDP,14.2792,0.9900,0.9916,0.9882,98,371,0.2090,17.0000,469
1.0000,15,1,PROPOSED,13.0791,0.9883,0.9960,0.9806,208,268,0.4370,20.0000,476
1.0000,15,1,RDP,14.4068,0.9905,0.9916,0.9890,98,378,0.2059,17.0000,476
1.0000,15,2,PROPOSED,13.0152,0.9885,0.9953,0.9807,204,267,0.4331,18.0000,471
1.0000,15,2,RDP,14.3153,0.9901,0.9916,0.9885,98,373,0.2081,17.0000,471
1.0000,15,3,PROPOSED,13.1337,0.9880,0.9964,0.9801,205,264,0.4371,18.0000,469
1.0000,15,3,RDP,14.2792,0.9900,0.9916,0.9882,98,371,0.2090,17.0000,469
1.0000,15,4,PROPOSED,12.8246,0.9874,0.9946,0.9806,201,269,0.4277,18.0000,470
1.0000,15,4,RDP,14.2972,0.9901,0.9916,0.9884,98,372,0.2085,17.0000,470
3.0000,5,0,PROPOSED,18.7275,0.9959,0.9995,0.9932,423,421,0.5012,15.0000,844
3.0000,5,0,RDP,25.2140,0.9991,0.9995,0.9990,184,660,0.2180,10.0000,844
3.0000,5,1,PROPOSED,18.6725,0.9959,0.9996,0.9933,425,417,0.5048,11.0000,842
3.0000,5,1,RDP,25.1839,0.9991,0.9995,0.9990,184,658,0.2185,10.0000,842
3.0000,5,2,PROPOSED,18.8288,0.9960,0.9996,0.9935,426,421,0.5030,13.0000,847
3.0000,5,2,RDP,25.2596,0.9991,0.9995,0.9990,184,663,0.2172,10.0000,847
3.0000,5,3,PROPOSED,18.7019,0.9959,0.9995,0.9933,423,420,0.5018,12.0000,843
3.0000,5,3,RDP,25.1990,0.9991,0.9995,0.9990,184,659,0.2183,10.0000,843
3.0000,5,4,PROPOSED,18.6969,0.9958,0.9996,0.9932,425,417,0.5048,11.0000,842
3.0000,5,4,RDP,25.1839,0.9991,0.9995,0.9990,184,658,0.2185,10.0000,842
3.0000,8,0,PROPOSED,15.5181,0.9918,0.9984,0.9863,310,329,0.4851,14.0000,639
3.0000,8,0,RDP,18.8504,0.9959,0.9978,0.9951,140,499,0.2191,17.0000,639
3.0000,8,1,PROPOSED,15.5677,0.9921,0.9981,0.9871,308,333,0.4805,17.0000,641
3.0000,8,1,RDP,18.8702,0.9960,0.9978,0.9951,140,501,0.2184,17.0000,641
3.0000,8,2,PROPOSED,15.5786,0.9918,0.9983,0.9862,310,330,0.4844,17.0000,640
3.0000,8,2,RDP,18.8724,0.9960,0.9978,0.9951,140,500,0.2188,17.0000,640
3.0000,8,3,PROPOSED,15.5271,0.9916,0.9982,0.9863,314,330,0.4876,15.0000,644
3.0000,8,3,RDP,18.9124,0.9960,0.9978,0.9953,140,504,0.2174,17.0000,644
3.0000,8,4,PROPOSED,15.5619,0.9920,0.9981,0.9872,310,332,0.4829,16.0000,642
3.0000,8,4,RDP,18.8924,0.9960,0.9978,0.9952,140,502,0.2181,17.0000,642
3.0000,10,0,PROPOSED,14.7779,0.9905,0.9969,0.9842,267,305,0.4668,17.0000,572
3.0000,10,0,RDP,16.0384,0.9928,0.9935,0.9944,100,472,0.1748,17.0000,572
3.0000,10,1,PROPOSED,14.8540,0.9908,0.9971,0.9855,266,304,0.4667,17.0000,570
3.0000,10,1,RDP,16.0217,0.9927,0.9935,0.9944,100,470,0.1754,17.0000,570
3.0000,10,2,PROPOSED,14.7684,0.9908,0.9969,0.9857,265,303,0.4665,17.0000,568
3.0000,10,2,RDP,16.0050,0.9927,0.9935,0.9943,100,468,0.1761,17.0000,568
3.0000,10,3,PROPOSED,14.6729,0.9908,0.9967,0.9858,263,305,0.4630,17.0000,568
3.0000,10,3,RDP,16.0050,0.9927,0.9935,0.9943,100,468,0.1761,17.0000,568
3.0000,10,4,PROPOSED,14.8388,0.9903,0.9974,0.9847,267,302,0.4692,20.0000,569
3.0000,10,4,RDP,16.0133,0.9927,0.9935,0.9943,100,469,0.1757,17.0000,569
3.0000,15,0,PROPOSED,13.5971,0.9884,0.9945,0.9824,196,271,0.4197,20.0000,467
3.0000,15,0,RDP,14.8086,0.9908,0.9935,0.9880,100,367,0.2141,17.0000,467
3.0000,15,1,PROPOSED,13.3785,0.9878,0.9940,0.9826,203,266,0.4328,21.0000,469
3.0000,15,1,RDP,14.8443,0.9910,0.9935,0.9885,100,369,0.2132,17.0000,469
3.0000,15,2,PROPOSED,13.4107,0.9876,0.9933,0.9813,202,267,0.4307,18.0000,469
3.0000,15,2,RDP,14.8443,0.9910,0.9935,0.9885,100,369,0.2132,17.0000,469
3.0000,15,3,PROPOSED,13.5168,0.9877,0.9947,0.9816,204,264,0.4359,21.0000,468
3.0000,15,3,RDP,14.8264,0.9909,0.9935,0.9883,100,368,0.2137,17.0000,468
3.0000,15,4,PROPOSED,13.4392,0.9876,0.9941,0.9818,204,263,0.4368,21.0000,467
3.0000,15,4,RDP,14.8086,0.9908,0.9935,0.9880,100,367,0.2141,17.0000,467
5.0000,5,0,PROPOSED,19.5205,0.9963,0.9996,0.9940,427,416,0.5065,13.0000,843
5.0000,5,0,RDP,26.1122,0.9992,0.9995,0.9992,187,656,0.2218,10.0000,843
5.0000,5,1,PROPOSED,19.5165,0.9964,0.9995,0.9943,427,416,0.5065,13.0000,843
5.0000,5,1,RDP,26.1122,0.9992,0.9995,0.9992,187,656,0.2218,10.0000,843
5.0000,5,2,PROPOSED,19.6847,0.9966,0.9995,0.9947,424,423,0.5006,15.0000,847
5.0000,5,2,RDP,26.1723,0.9992,0.9995,0.9992,187,660,0.2208,10.0000,847
5.0000,5,3,PROPOSED,19.5071,0.9964,0.9996,0.9942,426,415,0.5065,10.0000,841
5.0000,5,3,RDP,26.0824,0.9992,0.9995,0.9992,187,654,0.2224,10.0000,841
5.0000,5,4,PROPOSED,19.7291,0.9966,0.9995,0.9945,425,418,0.5042,15.0000,843
5.0000,5,4,RDP,26.1122,0.9992,0.9995,0.9992,187,656,0.2218,10.0000,843
5.0000,8,0,PROPOSED,16.5826,0.9932,0.9984,0.9891,309,331,0.4828,16.0000,640
5.0000,8,0,RDP,19.8055,0.9966,0.9978,0.9960,143,497,0.2234,12.0000,640
5.0000,8,1,PROPOSED,16.5330,0.9932,0.9983,0.9893,309,330,0.4836,16.0000,639
5.0000,8,1,RDP,19.7835,0.9965,0.9978,0.9960,143,496,0.2238,12.0000,639
5.0000,8,2,PROPOSED,16.6048,0.9933,0.9983,0.9895,307,333,0.4797,16.0000,640
5.0000,8,2,RDP,19.8055,0.9966,0.9978,0.9960,143,497,0.2234,12.0000,640
5.0000,8,3,PROPOSED,16.5732,0.9931,0.9986,0.9891,311,329,0.4859,16.0000,640
5.0000,8,3,RDP,19.8055,0.9966,0.9978,0.9960,143,497,0.2234,12.0000,640
5.0000,8,4,PROPOSED,16.5585,0.9930,0.9983,0.9890,308,331,0.4820,16.0000,639
5.0000,8,4,RDP,19.7835,0.9965,0.9978,0.9960,143,496,0.2238,12.0000,639
5.0000,10,0,PROPOSED,15.6255,0.9920,0.9970,0.9875,263,307,0.4614,17.0000,570
5.0000,10,0,RDP,16.9566,0.9938,0.9942,0.9953,103,467,0.1807,17.0000,570
5.0000,10,1,PROPOSED,15.6239,0.9920,0.9971,0.9877,266,306,0.4650,17.0000,572
5.0000,10,1,RDP,16.9733,0.9938,0.9942,0.9954,103,469,0.1801,17.0000,572
5.0000,10,2,PROPOSED,15.7161,0.9919,0.9969,0.9876,263,306,0.4622,18.0000,569
5.0000,10,2,RDP,16.9483,0.9938,0.9942,0.9954,103,466,0.1810,17.0000,569
5.0000,10,3,PROPOSED,15.7056,0.9918,0.9970,0.9876,263,305,0.4630,18.0000,568
5.0000,10,3,RDP,16.9400,0.9938,0.9942,0.9953,103,465,0.1813,17.0000,568
5.0000,10,4,PROPOSED,15.8127,0.9919,0.9978,0.9873,268,300,0.4718,17.0000,568
5.0000,10,4,RDP,16.9400,0.9938,0.9942,0.9953,103,465,0.1813,17.0000,568
5.0000,15,0,PROPOSED,14.4892,0.9895,0.9945,0.9848,203,266,0.4328,19.0000,469
5.0000,15,0,RDP,15.7421,0.9921,0.9944,0.9902,101,368,0.2154,17.0000,469
5.0000,15,1,PROPOSED,14.5472,0.9901,0.9947,0.9851,203,269,0.4301,20.0000,472
5.0000,15,1,RDP,15.7957,0.9924,0.9944,0.9907,101,371,0.2140,17.0000,472
5.0000,15,2,PROPOSED,14.4683,0.9890,0.9949,0.9839,208,263,0.4416,18.0000,471
5.0000,15,2,RDP,15.7777,0.9923,0.9944,0.9905,101,370,0.2144,17.0000,471
5.0000,15,3,PROPOSED,14.2908,0.9893,0.9943,0.9850,201,265,0.4313,18.0000,466
5.0000,15,3,RDP,15.6892,0.9919,0.9944,0.9896,101,365,0.2167,17.0000,466
5.0000,15,4,PROPOSED,14.5613,0.9897,0.9950,0.9849,203,266,0.4328,18.0000,469
