alpha,overload,trial,method,snr_db,spec_corr_global,max_gap,n_surviving
0.2000,15,3,RDP,22.9373,0.9988,10.0000,470
0.2000,15,4,PROPOSED,19.2894,0.9981,12.0000,467
0.2000,15,4,RDP,22.8371,0.9988,10.0000,467
0.3000,5,0,PROPOSED,25.4739,0.9995,9.0000,846
0.3000,5,0,RDP,30.4219,0.9997,8.0000,846
0.3000,5,1,PROPOSED,25.5942,0.9995,9.0000,844
0.3000,5,1,RDP,30.3921,0.9997,8.0000,844
0.3000,5,2,PROPOSED,25.5729,0.9995,9.0000,845
0.3000,5,2,RDP,30.4070,0.9997,8.0000,845
0.3000,5,3,PROPOSED,25.6787,0.9995,9.0000,847
0.3000,5,3,RDP,30.4368,0.9997,8.0000,847
0.3000,5,4,PROPOSED,25.8899,0.9995,9.0000,848
0.3000,5,4,RDP,30.4518,0.9997,8.0000,848
0.3000,10,0,PROPOSED,19.7144,0.9982,13.0000,575
0.3000,10,0,RDP,23.8607,0.9990,10.0000,575
0.3000,10,1,PROPOSED,19.5948,0.9981,14.0000,570
0.3000,10,1,RDP,23.7409,0.9990,10.0000,570
0.3000,10,2,PROPOSED,19.2184,0.9978,14.0000,569
0.3000,10,2,RDP,23.7173,0.9990,10.0000,569
0.3000,10,3,PROPOSED,19.3414,0.9979,13.0000,568
0.3000,10,3,RDP,23.6938,0.9990,10.0000,568
0.3000,10,4,PROPOSED,19.3303,0.9980,12.0000,569
0.3000,10,4,RDP,23.7173,0.9990,10.0000,569
0.3000,15,0,PROPOSED,16.2289,0.9951,14.0000,470
0.3000,15,0,RDP,19.3570,0.9979,10.0000,470
0.3000,15,1,PROPOSED,16.2298,0.9948,15.0000,468
0.3000,15,1,RDP,19.2477,0.9978,10.0000,468
0.3000,15,2,PROPOSED,16.6846,0.9960,15.0000,469
0.3000,15,2,RDP,19.3020,0.9979,10.0000,469
0.3000,15,3,PROPOSED,16.2474,0.9949,14.0000,469
0.3000,15,3,RDP,19.3020,0.9979,10.0000,469
0.3000,15,4,PROPOSED,16.9413,0.9959,15.0000,470
0.3000,15,4,RDP,19.3570,0.9979,10.0000,470
0.4000,5,0,PROPOSED,24.6160,0.9993,11.0000,843
0.4000,5,0,RDP,28.1621,0.9995,8.0000,843
0.4000,5,1,PROPOSED,24.7203,0.9994,11.0000,847
0.4000,5,1,RDP,28.2208,0.9996,8.0000,847
0.4000,5,2,PROPOSED,24.8776,0.9994,11.0000,839
0.4000,5,2,RDP,28.1036,0.9995,8.0000,839
0.4000,5,3,PROPOSED,24.8522,0.9993,11.0000,842
0.4000,5,3,RDP,28.1476,0.9995,8.0000,842
0.4000,5,4,PROPOSED,24.9250,0.9993,9.0000,850
0.4000,5,4,RDP,28.2653,0.9996,8.0000,850
0.4000,10,0,PROPOSED,19.0355,0.9979,13.0000,569
0.4000,10,0,RDP,23.4860,0.9990,10.0000,569
0.4000,10,1,PROPOSED,18.8886,0.9979,14.0000,571
0.4000,10,1,RDP,23.6298,0.9990,10.0000,571
0.4000,10,2,PROPOSED,19.0595,0.9979,13.0000,569
0.4000,10,2,RDP,23.4860,0.9990,10.0000,569
0.4000,10,3,PROPOSED,19.4255,0.9982,13.0000,569
0.4000,10,3,RDP,23.4860,0.9990,10.0000,569
0.4000,10,4,PROPOSED,18.7838,0.9979,15.0000,569
0.4000,10,4,RDP,23.4860,0.9990,10.0000,569
0.4000,15,0,PROPOSED,15.9159,0.9954,15.0000,471
0.4000,15,0,RDP,18.7802,0.9973,10.0000,471
0.4000,15,1,PROPOSED,16.2145,0.9958,16.0000,470
0.4000,15,1,RDP,18.7813,0.9973,10.0000,470
