sample,original,proposed_recon,rdp_recon
169,-0.125333,-0.135019,-0.0671569
170,-0.587785,-0.587785,-0.485992
171,-0.904827,-0.904827,-0.904827
172,-0.998027,-0.998027,-0.874577
173,-0.844328,-0.844328,-0.844328
174,-0.481754,-0.481754,-0.422164
175,1.07818e-14,3.21965e-15,1.88738e-15
176,0.481754,0.481754,0.422164
177,0.844328,0.844328,0.844328
178,0.998027,0.998027,0.874577
179,0.904827,0.904827,0.904827
180,0.587785,0.587785,0.485992
181,0.125333,0.135019,0.0671569
182,-0.368125,-0.317747,-0.351678
183,-0.770513,-0.770513,-0.770513
184,-0.982287,-0.982287,-0.982287
185,-0.951057,-0.951057,-0.833417
186,-0.684547,-0.684547,-0.684547
187,-0.24869,-0.228182,-0.228182
188,0.24869,0.228182,0.228182
189,0.684547,0.684547,0.684547
190,0.951057,0.951057,0.833417
191,0.982287,0.982287,0.982287
192,0.770513,0.770513,0.770513
193,0.368125,0.317747,0.351678
194,-0.125333,-0.135019,-0.0671569
195,-0.587785,-0.587785,-0.485992
196,-0.904827,-0.904827,-0.904827
197,-0.998027,-0.998027,-0.874577
198,-0.844328,-0.844328,-0.844328
199,-0.481754,-0.422164,-0.422164
200,1.0292e-14,1.66533e-15,1.66533e-15
201,0.481754,0.422164,0.422164
202,0.844328,0.844328,0.844328
203,0.998027,0.998027,0.874577
204,0.904827,0.904827,0.904827
205,0.587785,0.587785,0.485992
206,0.125333,0.135019,0.0671569
207,-0.368125,-0.317747,-0.351678
208,-0.770513,-0.770513,-0.770513
209,-0.982287,-0.982287,-0.982287
210,-0.951057,-0.951057,-0.833417
211,-0.684547,-0.684547,-0.684547
212,-0.24869,-0.228182,-0.228182
213,0.24869,0.228182,0.228182
214,0.684547,0.684547,0.684547
215,0.951057,0.951057,0.833417
216,0.982287,0.982287,0.982287
217,0.770513,0.770513,0.770513
218,0.368125,0.317747,0.351678
219,-0.125333,-0.135019,-0.0671569
220,-0.587785,-0.587785,-0.485992
221,-0.904827,-0.904827,-0.904827
222,-0.998027,-0.998027,-0.874577
223,-0.844328,-0.844328,-0.844328
224,-0.481754,-0.422164,-0.422164
225,9.80213e-15,1.44329e-15,1.44329e-15
226,0.481754,0.422164,0.422164
227,0.844328,0.844328,0.844328
228,0.998027,0.998027,0.874577
229,0.904827,0.904827,0.904827
