buf_size,overload,trial,method,snr_db,spec_corr,err_tone_rel,max_gap,cv_gap,n_samples_near_spike,n_samples_total
128,5,3,RDP,20.5728,0.9976,0.0662,5.0000,0.4423,16,717
128,5,4,PROPOSED,18.4118,0.9972,0.0795,7.0000,0.5833,12,725
128,5,4,RDP,20.6961,0.9976,0.0651,5.0000,0.4443,16,725
128,8,0,PROPOSED,12.8714,0.9896,0.1594,8.0000,0.4983,9,515
128,8,0,RDP,16.0574,0.9929,0.1190,7.0000,0.4399,11,515
128,8,1,PROPOSED,12.5770,0.9892,0.1615,8.0000,0.5078,8,510
128,8,1,RDP,15.9890,0.9927,0.1206,7.0000,0.4389,11,510
128,8,2,PROPOSED,12.7824,0.9902,0.1602,8.0000,0.5011,10,511
128,8,2,RDP,15.9839,0.9927,0.1204,7.0000,0.4387,11,511
128,8,3,PROPOSED,12.8659,0.9899,0.1609,8.0000,0.5010,8,512
128,8,3,RDP,16.0256,0.9928,0.1199,7.0000,0.4396,11,512
128,8,4,PROPOSED,12.7852,0.9893,0.1596,8.0000,0.5097,9,511
128,8,4,RDP,15.9839,0.9927,0.1204,7.0000,0.4387,11,511
128,10,0,PROPOSED,11.8606,0.9858,0.1830,9.0000,0.4674,8,442
128,10,0,RDP,14.1563,0.9895,0.1537,8.0000,0.4125,8,442
128,10,1,PROPOSED,10.3889,0.9740,0.2109,13.0000,0.4726,8,442
128,10,1,RDP,14.1563,0.9895,0.1537,8.0000,0.4125,8,442
128,10,2,PROPOSED,11.6991,0.9841,0.1873,9.0000,0.4654,7,441
128,10,2,RDP,14.0942,0.9893,0.1545,8.0000,0.4114,8,441
128,10,3,PROPOSED,11.9175,0.9858,0.1830,18.0000,0.4820,6,440
128,10,3,RDP,14.1007,0.9893,0.1549,8.0000,0.4114,8,440
128,10,4,PROPOSED,11.0390,0.9802,0.1988,9.0000,0.4634,8,440
128,10,4,RDP,14.1007,0.9893,0.1549,8.0000,0.4114,8,440
128,15,0,PROPOSED,3.2490,0.8010,0.4317,21.0000,0.6295,6,339
128,15,0,RDP,11.9257,0.9800,0.2178,8.0000,0.2660,8,339
128,15,1,PROPOSED,3.1787,0.7975,0.4279,19.0000,0.6194,5,338
128,15,1,RDP,11.9297,0.9800,0.2183,8.0000,0.2638,8,338
128,15,2,PROPOSED,2.9224,0.7792,0.4381,20.0000,0.5791,4,342
128,15,2,RDP,11.9972,0.9805,0.2158,8.0000,0.2747,8,342
128,15,3,PROPOSED,2.5142,0.7496,0.4604,19.0000,0.5919,5,341
128,15,3,RDP,11.9593,0.9802,0.2166,8.0000,0.2715,8,341
128,15,4,PROPOSED,3.6127,0.8229,0.4083,19.0000,0.6229,5,340
128,15,4,RDP,11.9633,0.9802,0.2170,8.0000,0.2694,8,340
256,3,0,PROPOSED,24.5411,0.9991,0.0279,5.0000,0.6551,20,1162
256,3,0,RDP,27.0639,0.9993,0.0149,4.0000,0.6951,21,1162
256,3,1,PROPOSED,24.4853,0.9990,0.0285,5.0000,0.6491,20,1158
256,3,1,RDP,26.9823,0.9993,0.0151,4.0000,0.6965,21,1158
256,3,2,PROPOSED,24.5375,0.9991,0.0281,5.0000,0.6541,20,1159
256,3,2,RDP,27.0026,0.9993,0.0150,4.0000,0.6961,21,1159
256,3,3,PROPOSED,24.5475,0.9991,0.0279,5.0000,0.6560,19,1162
256,3,3,RDP,27.0639,0.9993,0.0149,4.0000,0.6951,21,1162
256,3,4,PROPOSED,24.5408,0.9990,0.0278,5.0000,0.6583,19,1163
256,3,4,RDP,27.0845,0.9993,0.0148,4.0000,0.6948,21,1163
256,5,0,PROPOSED,20.1871,0.9983,0.0611,6.0000,0.6058,11,842
256,5,0,RDP,22.4849,0.9983,0.0497,4.0000,0.4944,19,842
256,5,1,PROPOSED,20.0084,0.9982,0.0617,6.0000,0.6098,11,845
256,5,1,RDP,22.5138,0.9983,0.0493,4.0000,0.4976,19,845
256,5,2,PROPOSED,20.1483,0.9983,0.0609,6.0000,0.6109,14,843
256,5,2,RDP,22.4945,0.9983,0.0495,4.0000,0.4955,19,843
256,5,3,PROPOSED,20.0372,0.9981,0.0618,6.0000,0.6186,15,848
256,5,3,RDP,22.5429,0.9984,0.0489,4.0000,0.5008,19,848
256,5,4,PROPOSED,20.0788,0.9982,0.0619,6.0000,0.6047,11,843
256,5,4,RDP,22.4945,0.9983,0.0495,4.0000,0.4955,19,843
256,8,0,PROPOSED,15.0006,0.9939,0.1163,7.0000,0.5698,10,641
256,8,0,RDP,19.4785,0.9966,0.0777,5.0000,0.4064,12,641
256,8,1,PROPOSED,15.0825,0.9937,0.1158,8.0000,0.5702,10,640
256,8,1,RDP,19.4168,0.9964,0.0780,5.0000,0.4057,11,640
256,8,2,PROPOSED,15.1149,0.9938,0.1152,8.0000,0.5746,10,641
256,8,2,RDP,19.4785,0.9966,0.0777,5.0000,0.4064,12,641
256,8,3,PROPOSED,15.0703,0.9942,0.1165,7.0000,0.5696,9,644
256,8,3,RDP,19.5740,0.9967,0.0766,5.0000,0.4095,14,644
256,8,4,PROPOSED,15.0747,0.9937,0.1144,7.0000,0.5837,13,643
256,8,4,RDP,19.5640,0.9967,0.0768,5.0000,0.4077,13,643
256,10,0,PROPOSED,14.0820,0.9908,0.1323,8.0000,0.5607,11,570
256,10,0,RDP,17.2495,0.9949,0.1009,7.0000,0.4433,11,570
256,10,1,PROPOSED,14.2770,0.9912,0.1311,7.0000,0.5615,11,569
256,10,1,RDP,17.1943,0.9949,0.1014,7.0000,0.4429,11,569
256,10,2,PROPOSED,14.0842,0.9911,0.1329,8.0000,0.5607,11,568
256,10,2,RDP,17.2010,0.9949,0.1016,7.0000,0.4437,11,568
256,10,3,PROPOSED,14.2276,0.9918,0.1318,7.0000,0.5605,10,572
256,10,3,RDP,17.2985,0.9950,0.1002,7.0000,0.4429,11,572
256,10,4,PROPOSED,13.9363,0.9913,0.1343,8.0000,0.5607,9,570
256,10,4,RDP,17.2495,0.9949,0.1009,7.0000,0.4433,11,570
256,15,0,PROPOSED,11.7704,0.9842,0.1855,9.0000,0.5138,8,463
256,15,0,RDP,14.7476,0.9907,0.1409,8.0000,0.4205,8,463
256,15,1,PROPOSED,11.9095,0.9840,0.1826,9.0000,0.5146,9,468
256,15,1,RDP,14.9522,0.9911,0.1376,8.0000,0.4223,8,468
256,15,2,PROPOSED,12.1928,0.9859,0.1782,9.0000,0.5132,9,469
256,15,2,RDP,14.9442,0.9910,0.1371,8.0000,0.4220,8,469
256,15,3,PROPOSED,11.9057,0.9848,0.1826,9.0000,0.5110,9,468
256,15,3,RDP,14.9522,0.9911,0.1376,8.0000,0.4223,8,468
256,15,4,PROPOSED,11.9314,0.9849,0.1817,9.0000,0.5133,8,468
256,15,4,RDP,14.9522,0.9911,0.1376,8.0000,0.4223,8,468
512,3,0,PROPOSED,28.8198,0.9996,0.0100,4.0000,0.6568,21,1420
512,3,0,RDP,33.3328,0.9998,0.0042,4.0000,0.5606,26,1420
512,3,1,PROPOSED,28.9049,0.9996,0.0099,4.0000,0.6591,21,1418
512,3,1,RDP,33.2788,0.9998,0.0043,4.0000,0.5621,26,1418
512,3,2,PROPOSED,28.9333,0.9996,0.0100,4.0000,0.6549,21,1421
512,3,2,RDP,33.3268,0.9998,0.0042,4.0000,0.5595,26,1421
512,3,3,PROPOSED,28.7687,0.9995,0.0103,4.0000,0.6609,21,1412
512,3,3,RDP,33.1205,0.9998,0.0044,4.0000,0.5665,26,1412
512,3,4,PROPOSED,28.9623,0.9996,0.0100,4.0000,0.6557,21,1420
512,3,4,RDP,33.3328,0.9998,0.0042,4.0000,0.5606,26,1420
512,5,0,PROPOSED,23.8024,0.9990,0.0346,5.0000,0.6229,19,1100
512,5,0,RDP,25.8796,0.9991,0.0194,4.0000,0.6959,19,1100
512,5,1,PROPOSED,23.7968,0.9990,0.0347,5.0000,0.6219,19,1099
512,5,1,RDP,25.8606,0.9991,0.0195,4.0000,0.6953,19,1099
512,5,2,PROPOSED,23.8138,0.9990,0.0347,5.0000,0.6193,19,1099
512,5,2,RDP,25.8606,0.9991,0.0195,4.0000,0.6953,19,1099
512,5,3,PROPOSED,23.8137,0.9990,0.0345,5.0000,0.6271,19,1098
512,5,3,RDP,25.8417,0.9991,0.0197,4.0000,0.6948,19,1098
512,5,4,PROPOSED,23.8104,0.9990,0.0346,5.0000,0.6253,19,1098
512,5,4,RDP,25.8417,0.9991,0.0197,4.0000,0.6948,19,1098
512,8,0,PROPOSED,21.7780,0.9985,0.0518,5.0000,0.5861,16,898
512,8,0,RDP,23.0589,0.9985,0.0428,4.0000,0.5497,19,898
512,8,1,PROPOSED,21.9676,0.9986,0.0505,6.0000,0.5876,14,904
512,8,1,RDP,23.1252,0.9985,0.0420,4.0000,0.5551,19,904
512,8,2,PROPOSED,21.8053,0.9986,0.0517,5.0000,0.5797,16,896
512,8,2,RDP,23.0371,0.9985,0.0430,4.0000,0.5479,19,896
512,8,3,PROPOSED,21.8190,0.9986,0.0515,5.0000,0.5807,15,898
512,8,3,RDP,23.0589,0.9985,0.0428,4.0000,0.5497,19,898
512,8,4,PROPOSED,21.8296,0.9986,0.0515,5.0000,0.5838,16,898
512,8,4,RDP,23.0589,0.9985,0.0428,4.0000,0.5497,19,898
512,10,0,PROPOSED,21.0527,0.9983,0.0585,5.0000,0.5623,16,825
