buf_size,overload,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,err_f3_rel,err_f4_rel,err_f5_rel,max_gap,cv_gap
256,10,2,RDP,23.1043,0.9978,0.0078,0.0241,0.0484,0.1709,0.2704,7.0000,0.4884
256,10,3,PROPOSED,19.9943,0.9961,0.0048,0.0542,0.0484,0.2323,0.3250,9.0000,0.6053
256,10,3,RDP,23.0664,0.9978,0.0081,0.0256,0.0495,0.1725,0.2728,7.0000,0.4892
256,10,4,PROPOSED,19.7500,0.9961,0.0034,0.0418,0.0392,0.2398,0.3302,11.0000,0.6128
256,10,4,RDP,23.1025,0.9978,0.0080,0.0251,0.0486,0.1709,0.2707,7.0000,0.4897
512,3,0,PROPOSED,39.8877,1.0000,0.0017,0.0016,0.0006,0.0020,0.0113,4.0000,0.4868
512,3,0,RDP,44.7093,1.0000,0.0013,0.0026,0.0013,0.0018,0.0013,4.0000,0.4473
512,3,1,PROPOSED,40.0042,1.0000,0.0017,0.0013,0.0003,0.0008,0.0112,4.0000,0.4902
512,3,1,RDP,44.7304,1.0000,0.0013,0.0026,0.0012,0.0020,0.0016,4.0000,0.4429
512,3,2,PROPOSED,39.8250,1.0000,0.0016,0.0015,0.0000,0.0019,0.0106,4.0000,0.4907
512,3,2,RDP,44.6502,1.0000,0.0013,0.0026,0.0012,0.0016,0.0009,4.0000,0.4492
512,3,3,PROPOSED,40.1722,1.0000,0.0016,0.0013,0.0000,0.0011,0.0111,4.0000,0.4886
512,3,3,RDP,44.8396,1.0000,0.0013,0.0027,0.0011,0.0025,0.0025,4.0000,0.4342
512,3,4,PROPOSED,40.0348,1.0000,0.0016,0.0015,0.0004,0.0018,0.0108,4.0000,0.4873
512,3,4,RDP,44.7304,1.0000,0.0013,0.0026,0.0012,0.0020,0.0016,4.0000,0.4429
512,5,0,PROPOSED,31.4149,0.9997,0.0038,0.0117,0.0069,0.0172,0.0167,4.0000,0.5533
512,5,0,RDP,35.6290,0.9999,0.0019,0.0001,0.0006,0.0073,0.0241,4.0000,0.4717
512,5,1,PROPOSED,31.3527,0.9997,0.0039,0.0118,0.0076,0.0167,0.0169,4.0000,0.5540
512,5,1,RDP,35.5206,0.9999,0.0016,0.0002,0.0002,0.0065,0.0244,4.0000,0.4751
512,5,2,PROPOSED,31.4143,0.9997,0.0036,0.0116,0.0072,0.0166,0.0174,4.0000,0.5527
512,5,2,RDP,35.5926,0.9999,0.0018,0.0000,0.0004,0.0070,0.0242,4.0000,0.4728
512,5,3,PROPOSED,31.4493,0.9997,0.0037,0.0113,0.0071,0.0166,0.0174,4.0000,0.5538
512,5,3,RDP,35.6290,0.9999,0.0019,0.0001,0.0006,0.0073,0.0241,4.0000,0.4717
512,5,4,PROPOSED,31.4149,0.9997,0.0038,0.0117,0.0069,0.0172,0.0167,4.0000,0.5533
512,5,4,RDP,35.6290,0.9999,0.0019,0.0001,0.0006,0.0073,0.0241,4.0000,0.4717
512,10,0,PROPOSED,26.4212,0.9992,0.0039,0.0150,0.0119,0.0504,0.1075,7.0000,0.5782
512,10,0,RDP,27.6962,0.9993,0.0092,0.0259,0.0290,0.0196,0.0322,5.0000,0.4881
512,10,1,PROPOSED,26.4543,0.9992,0.0040,0.0142,0.0119,0.0506,0.1071,7.0000,0.5775
512,10,1,RDP,27.6962,0.9993,0.0092,0.0259,0.0290,0.0196,0.0322,5.0000,0.4881
512,10,2,PROPOSED,26.4575,0.9992,0.0039,0.0150,0.0126,0.0491,0.1054,7.0000,0.5753
512,10,2,RDP,27.6748,0.9993,0.0094,0.0269,0.0298,0.0183,0.0304,5.0000,0.4878
512,10,3,PROPOSED,26.5826,0.9992,0.0054,0.0145,0.0141,0.0480,0.1037,7.0000,0.5817
512,10,3,RDP,27.6748,0.9993,0.0094,0.0269,0.0298,0.0183,0.0304,5.0000,0.4878
512,10,4,PROPOSED,26.4953,0.9992,0.0040,0.0144,0.0127,0.0490,0.1052,7.0000,0.5753
512,10,4,RDP,27.6748,0.9993,0.0094,0.0269,0.0298,0.0183,0.0304,5.0000,0.4878
