f2,f2_f1_ratio,trial,method,snr_db,spec_corr,err_f1_rel,err_f2_rel,max_gap
0.250000,12.500000,2,PROPOSED,12.605341,0.980318,0.045394,0.325584,10.000000
0.250000,12.500000,2,RDP,14.418114,0.988044,0.083264,0.204343,9.000000
0.250000,12.500000,3,PROPOSED,12.663638,0.980695,0.039844,0.326758,10.000000
0.250000,12.500000,3,RDP,14.425303,0.987993,0.081989,0.205107,9.000000
0.250000,12.500000,4,PROPOSED,12.618591,0.980799,0.031293,0.322020,10.000000
0.250000,12.500000,4,RDP,14.508749,0.988213,0.080389,0.201291,9.000000
0.300000,15.000000,0,PROPOSED,11.640923,0.973065,0.019921,0.508276,13.000000
0.300000,15.000000,0,RDP,11.909362,0.972568,0.036958,0.470394,8.000000
0.300000,15.000000,1,PROPOSED,11.637286,0.972727,0.023753,0.504369,10.000000
0.300000,15.000000,1,RDP,11.965315,0.972755,0.037266,0.465648,8.000000
0.300000,15.000000,2,PROPOSED,11.632097,0.973657,0.009578,0.508259,13.000000
0.300000,15.000000,2,RDP,11.909362,0.972568,0.036958,0.470394,8.000000
0.300000,15.000000,3,PROPOSED,11.631718,0.973324,0.008657,0.509104,13.000000
0.300000,15.000000,3,RDP,11.876488,0.972477,0.036858,0.473841,8.000000
0.300000,15.000000,4,PROPOSED,11.620053,0.973007,0.007068,0.509181,13.000000
0.300000,15.000000,4,RDP,11.876488,0.972477,0.036858,0.473841,8.000000
0.400000,20.000000,0,PROPOSED,11.295007,0.968903,0.012539,0.501580,10.000000
0.400000,20.000000,0,RDP,11.461420,0.964676,0.014080,0.475131,4.000000
0.400000,20.000000,1,PROPOSED,11.297505,0.968821,0.020311,0.502747,10.000000
0.400000,20.000000,1,RDP,11.461420,0.964676,0.014080,0.475131,4.000000
0.400000,20.000000,2,PROPOSED,11.307493,0.969117,0.015575,0.501035,10.000000
0.400000,20.000000,2,RDP,11.474130,0.964645,0.014027,0.474295,4.000000
0.400000,20.000000,3,PROPOSED,11.300448,0.969201,0.014440,0.501188,10.000000
0.400000,20.000000,3,RDP,11.474130,0.964645,0.014027,0.474295,4.000000
0.400000,20.000000,4,PROPOSED,11.287760,0.968811,0.010011,0.501437,10.000000
0.400000,20.000000,4,RDP,11.461420,0.964676,0.014080,0.475131,4.000000
