bin,norm_freq,orig_mag,proposed_mag,rdp_mag,proposed_err,rdp_err,proposed_rel_err,rdp_rel_err
63,0.0315,38.4039,37.6876,38.7404,0.71627,0.336557,0.018651,0.00876361
64,0.032,37.8069,35.4388,37.8128,2.3681,0.00594692,0.0626366,0.000157297
65,0.0325,37.2099,35.1813,37.4794,2.02863,0.269499,0.0545186,0.00724265
66,0.033,36.6134,39.535,36.5743,2.92161,0.039108,0.0797963,0.00106813
67,0.0335,36.0175,38.6077,36.4271,2.59018,0.409532,0.0719144,0.0113703
68,0.034,35.4226,34.6369,35.603,0.785778,0.18038,0.0221829,0.00509222
69,0.0345,34.829,33.8255,35.0108,1.00346,0.181804,0.0288112,0.0052199
70,0.035,34.2368,35.1836,33.9436,0.946805,0.293242,0.0276546,0.00856511
71,0.0355,33.6464,35.3134,33.8968,1.66698,0.250385,0.049544,0.00744165
72,0.036,33.058,30.2558,33.1716,2.80219,0.11355,0.0847659,0.00343488
73,0.0365,32.4719,33.2917,32.9847,0.819775,0.512822,0.0252457,0.0157928
74,0.037,31.8883,33.6258,32.0552,1.73746,0.166909,0.0544857,0.00523418
75,0.0375,31.3075,31.5235,31.8321,0.216036,0.52462,0.00690046,0.016757
76,0.038,30.7297,30.2249,30.4721,0.504775,0.257549,0.0164263,0.00838112
77,0.0385,30.1551,26.1296,30.8714,4.02546,0.716283,0.133492,0.0237533
78,0.039,29.5839,29.5942,29.272,0.0102918,0.311933,0.000347886,0.010544
79,0.0395,29.0164,33.2395,31.2008,4.2231,2.18442,0.145542,0.0752821
80,0.04,28.4528,27.4685,35.9837,0.984329,7.53087,0.0345952,0.264679
81,0.0405,27.8932,23.4388,25.9126,4.4544,1.98066,0.159695,0.0710086
82,0.041,27.3379,27.8905,27.5805,0.552644,0.242573,0.0202153,0.00887315
83,0.0415,26.787,29.0244,26.1851,2.23739,0.601889,0.0835253,0.0224694
84,0.042,26.2408,25.9947,26.0301,0.246103,0.210668,0.00937865,0.00802826
85,0.0425,25.6994,25.2953,25.0103,0.404076,0.689022,0.0157232,0.0268109
86,0.043,25.1629,21.5335,24.6783,3.62939,0.484591,0.144236,0.0192582
87,0.0435,24.6315,23.6744,24.7248,0.957106,0.0932933,0.038857,0.00378756
88,0.044,24.1054,25.8964,23.9008,1.79096,0.204658,0.0742971,0.00849014
89,0.0445,23.5847,23.4895,23.3718,0.0952751,0.212932,0.00403969,0.00902837
90,0.045,23.0696,21.0073,22.9164,2.06229,0.153199,0.089394,0.00664071
91,0.0455,22.5602,21.9431,22.6531,0.617048,0.0928886,0.0273512,0.00411737
92,0.046,22.0566,22.6333,21.2301,0.57675,0.826508,0.0261487,0.0374722
93,0.0465,21.5589,21.7342,21.819,0.17539,0.260136,0.00813542,0.0120663
94,0.047,21.0672,20.3846,21.5293,0.682536,0.462109,0.0323981,0.021935
95,0.0475,20.5816,19.259,21.0382,1.32267,0.456525,0.0642648,0.0221812
96,0.048,20.1023,21.5042,20.586,1.40187,0.483622,0.0697364,0.024058
97,0.0485,19.6293,17.9665,19.6775,1.66288,0.0481455,0.084714,0.00245273
98,0.049,19.1628,17.4327,19.2409,1.73006,0.0781017,0.0902823,0.00407571
99,0.0495,18.7026,20.9835,18.7594,2.28091,0.0567856,0.121957,0.00303623
100,0.05,18.2491,20.0089,18.2156,1.75979,0.0335051,0.096432,0.00183599
101,0.0505,17.8021,16.9059,18.1954,0.896159,0.393315,0.0503401,0.0220938
102,0.051,17.3618,18.4226,17.6765,1.06076,0.314676,0.0610972,0.0181246
103,0.0515,16.9282,16.4865,17.5523,0.44173,0.624044,0.0260943,0.0368641
104,0.052,16.5014,17.1274,16.9859,0.626058,0.484542,0.0379398,0.0293638
105,0.0525,16.0813,16.0832,16.2808,0.00186159,0.199495,0.000115761,0.0124054
106,0.053,15.6681,12.6633,16.0249,3.00487,0.356731,0.191782,0.0227679
107,0.0535,15.2618,16.3014,15.3234,1.03963,0.0616805,0.0681196,0.00404151
108,0.054,14.8623,17.555,14.9973,2.69273,0.13502,0.181179,0.00908476
109,0.0545,14.4697,9.19951,14.8803,5.27016,0.410678,0.364221,0.028382
110,0.055,14.084,13.8707,15.3043,0.213283,1.22036,0.0151437,0.0866493
111,0.0555,13.7052,18.4725,11.8818,4.76735,1.82336,0.347851,0.133042
112,0.056,13.3332,11.2668,12.8084,2.06647,0.524816,0.154986,0.0393614
113,0.0565,12.9682,12.2456,12.9371,0.722617,0.0311654,0.0557221,0.00240321
114,0.057,12.6101,12.2126,12.6027,0.397461,0.00737219,0.0315193,0.000584626
115,0.0575,12.2588,11.5255,12.5118,0.733323,0.253015,0.05982,0.0206394
116,0.058,11.9144,14.4484,11.7985,2.53401,0.115927,0.212685,0.00972998
117,0.0585,11.5768,12.7521,11.7688,1.17531,0.192,0.101523,0.0165849
118,0.059,11.246,13.0843,11.4268,1.83831,0.180828,0.163464,0.0160794
119,0.0595,10.9219,12.0105,11.0878,1.0886,0.16586,0.099671,0.015186
