method,gap_size
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,5
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,1
PROPOSED,1
RDP,2
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,1
RDP,4
RDP,1
RDP,4
RDP,2
RDP,3
RDP,1
RDP,1
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,1
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,2
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,1
RDP,4
RDP,2
RDP,4
RDP,1
RDP,2
RDP,3
RDP,2
RDP,1
RDP,4
RDP,1
RDP,2
