method,gap_size
PROPOSED,3
PROPOSED,2
PROPOSED,1
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,1
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,1
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,6
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,3
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,4
PROPOSED,1
PROPOSED,6
PROPOSED,6
PROPOSED,1
PROPOSED,5
PROPOSED,2
PROPOSED,4
PROPOSED,2
PROPOSED,5
PROPOSED,6
