method,sample_idx,value
PROPOSED,266,0.982287
PROPOSED,267,0.770513
PROPOSED,271,-0.904827
PROPOSED,272,-0.998027
PROPOSED,273,-0.844328
PROPOSED,277,0.844328
PROPOSED,278,0.998027
PROPOSED,279,0.904827
PROPOSED,283,-0.770513
PROPOSED,284,-0.982287
PROPOSED,285,-0.951057
PROPOSED,286,-0.684547
PROPOSED,289,0.684547
PROPOSED,290,0.951057
PROPOSED,291,0.982287
PROPOSED,292,0.770513
PROPOSED,296,-0.904827
PROPOSED,297,-0.998027
PROPOSED,298,-0.844328
PROPOSED,302,0.844328
PROPOSED,303,0.998027
PROPOSED,304,0.904827
PROPOSED,308,-0.770513
PROPOSED,309,-0.982287
PROPOSED,310,-0.951057
PROPOSED,311,-0.684547
PROPOSED,314,0.684547
PROPOSED,316,0.982287
PROPOSED,317,0.770513
PROPOSED,321,-0.904827
PROPOSED,322,-0.998027
PROPOSED,323,-0.844328
PROPOSED,327,0.844328
PROPOSED,328,0.998027
PROPOSED,329,0.904827
PROPOSED,333,-0.770513
PROPOSED,334,-0.982287
PROPOSED,336,-0.684547
PROPOSED,339,0.684547
PROPOSED,341,0.982287
PROPOSED,342,0.770513
PROPOSED,346,-0.904827
PROPOSED,347,-0.998027
PROPOSED,348,-0.844328
PROPOSED,352,0.844328
PROPOSED,353,0.998027
PROPOSED,354,0.904827
PROPOSED,358,-0.770513
PROPOSED,359,-0.982287
PROPOSED,361,-0.684547
PROPOSED,364,0.684547
PROPOSED,366,0.982287
PROPOSED,367,0.770513
PROPOSED,371,-0.904827
PROPOSED,372,-0.998027
PROPOSED,373,-0.844328
PROPOSED,377,0.844328
PROPOSED,378,0.998027
PROPOSED,379,0.904827
PROPOSED,383,-0.770513
PROPOSED,384,-0.982287
PROPOSED,386,-0.684547
PROPOSED,389,0.684547
PROPOSED,391,0.982287
PROPOSED,392,0.770513
PROPOSED,396,-0.904827
PROPOSED,397,-0.998027
PROPOSED,398,-0.844328
PROPOSED,402,0.844328
PROPOSED,403,0.998027
PROPOSED,404,0.904827
PROPOSED,408,-0.770513
PROPOSED,409,-0.982287
PROPOSED,411,-0.684547
PROPOSED,414,0.684547
PROPOSED,416,0.982287
PROPOSED,417,0.770513
PROPOSED,421,-0.904827
PROPOSED,423,-0.844328
PROPOSED,427,0.844328
PROPOSED,428,0.998027
PROPOSED,429,0.904827
PROPOSED,433,-0.770513
PROPOSED,434,-0.982287
PROPOSED,436,-0.684547
PROPOSED,439,0.684547
PROPOSED,441,0.982287
PROPOSED,442,0.770513
PROPOSED,446,-0.904827
PROPOSED,447,-0.998027
PROPOSED,448,-0.844328
PROPOSED,452,0.844328
PROPOSED,454,0.904827
PROPOSED,458,-0.770513
PROPOSED,459,-0.982287
PROPOSED,461,-0.684547
PROPOSED,464,0.684547
PROPOSED,466,0.982287
PROPOSED,467,0.770513
PROPOSED,471,-0.904827
PROPOSED,473,-0.844328
PROPOSED,477,0.844328
PROPOSED,479,0.904827
