method,buffer_size,accuracy,std
uncompressed,128,0.9366666666666665,0.012472191289246462
proposed,64,0.9299999999999999,0.016329931618554505
fifo,64,0.9400000000000001,0.008164965809277232
proposed,32,0.9266666666666667,0.038873012632301994
fifo,32,0.93,0.019436506316150983
proposed,16,0.9166666666666667,0.014907119849998594
fifo,16,0.8666666666666666,0.02581988897471611
proposed,8,0.8733333333333334,0.030912061651652334
fifo,8,0.8266666666666668,0.034318767136623324
