record,method,buffer_size,compression,f1,precision,recall
100,uncompressed,10000,1.0,0.9565217391304348,1.0,0.9166666666666666
100,proposed,512,19.53125,0.9565217391304348,1.0,0.9166666666666666
100,fifo,512,19.53125,0.6885245901639344,0.84,0.5833333333333334
100,proposed,256,39.0625,0.9565217391304348,1.0,0.9166666666666666
100,fifo,256,39.0625,0.3870967741935484,0.46153846153846156,0.3333333333333333
100,proposed,128,78.125,0.9565217391304348,1.0,0.9166666666666666
100,fifo,128,78.125,0.05405405405405406,1.0,0.027777777777777776
100,proposed,64,156.25,0.7586206896551725,1.0,0.6111111111111112
100,fifo,64,156.25,0.0,0.0,0.0
100,proposed,32,312.5,0.4347826086956522,1.0,0.2777777777777778
100,fifo,32,312.5,0.05263157894736842,0.5,0.027777777777777776
105,uncompressed,10000,1.0,0.9870129870129869,1.0,0.9743589743589743
105,proposed,512,19.53125,0.9870129870129869,1.0,0.9743589743589743
105,fifo,512,19.53125,0.9870129870129869,1.0,0.9743589743589743
105,proposed,256,39.0625,0.9870129870129869,1.0,0.9743589743589743
105,fifo,256,39.0625,0.7419354838709677,1.0,0.5897435897435898
105,proposed,128,78.125,0.9870129870129869,1.0,0.9743589743589743
105,fifo,128,78.125,0.0,0.0,0.0
105,proposed,64,156.25,0.7213114754098361,1.0,0.5641025641025641
105,fifo,64,156.25,0.0,0.0,0.0
105,proposed,32,312.5,0.44000000000000006,1.0,0.28205128205128205
105,fifo,32,312.5,0.0,0.0,0.0
108,uncompressed,10000,1.0,0.21428571428571427,0.24,0.1935483870967742
108,proposed,512,19.53125,0.4444444444444444,0.5217391304347826,0.3870967741935484
108,fifo,512,19.53125,0.4285714285714286,0.8181818181818182,0.2903225806451613
108,proposed,256,39.0625,0.5,0.7058823529411765,0.3870967741935484
108,fifo,256,39.0625,0.0,0.0,0.0
108,proposed,128,78.125,0.5833333333333333,0.8235294117647058,0.45161290322580644
108,fifo,128,78.125,0.0,0.0,0.0
108,proposed,64,156.25,0.358974358974359,0.875,0.22580645161290322
108,fifo,64,156.25,0.0,0.0,0.0
108,proposed,32,312.5,0.2285714285714286,1.0,0.12903225806451613
108,fifo,32,312.5,0.0,0.0,0.0
201,uncompressed,10000,1.0,0.9876543209876543,1.0,0.975609756097561
201,proposed,512,19.53125,0.9876543209876543,1.0,0.975609756097561
201,fifo,512,19.53125,0.9620253164556963,1.0,0.926829268292683
201,proposed,256,39.0625,0.9876543209876543,1.0,0.975609756097561
201,fifo,256,39.0625,0.6268656716417911,0.8076923076923077,0.5121951219512195
201,proposed,128,78.125,0.9350649350649352,1.0,0.8780487804878049
201,fifo,128,78.125,0.0,0.0,0.0
201,proposed,64,156.25,0.6333333333333334,1.0,0.4634146341463415
201,fifo,64,156.25,0.0,0.0,0.0
201,proposed,32,312.5,0.39215686274509803,1.0,0.24390243902439024
201,fifo,32,312.5,0.0,0.0,0.0
228,uncompressed,10000,1.0,0.945945945945946,1.0,0.8974358974358975
228,proposed,512,19.53125,0.945945945945946,1.0,0.8974358974358975
228,fifo,512,19.53125,0.7826086956521738,0.9,0.6923076923076923
228,proposed,256,39.0625,0.945945945945946,1.0,0.8974358974358975
228,fifo,256,39.0625,0.42857142857142866,0.7058823529411765,0.3076923076923077
228,proposed,128,78.125,0.8857142857142858,1.0,0.7948717948717948
228,fifo,128,78.125,0.0,0.0,0.0
228,proposed,64,156.25,0.7000000000000001,1.0,0.5384615384615384
228,fifo,64,156.25,0.0,0.0,0.0
228,proposed,32,312.5,0.3404255319148936,1.0,0.20512820512820512
228,fifo,32,312.5,0.0,0.0,0.0
